,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
3,app.goodcrypto, https://app.goodcrypto.app/privacy,False,en, text fine
4,app.hodlify, https://goo.gl/sZm8ym,False,en, text fine
9,ca.merkley.starter, http://www.questflex.com/privacy.html,False,en, text fine
22,com.bcoiner.webviewapp, https://bcoiner.com/privacy.html,False,en, text fine
30,com.bitso.wallet, https://bitso.com/privacy,False,N/A, text fine
35,com.blockfolio.blockfolio, https://blockfolio.com/privacy,False,N/A, text fine
36,com.bokucoin.app, https://bokucoin.com/privacy,False,en, text fine
37,com.btcontract.wallettest, https://lightning-wallet.com/,False,en, text fine
38,com.btcturk.pro, https://pro.btcturk.com/yasal-bilgiler/gizlilik-sozlesmesi,False,N/A, text fine
42,com.caramba.StellarWallet, https://caramba-apps.com/privacy,False,en, text fine
45,com.coinburp.mobile, https://assets.coinburp.com/docs/CoinBurp_Privacy_Policy_and_Cookies_Policy__Global__v1.00__Final_04.02.19_.pdf,False,bn, text fine
46,com.coindcx, https://coindcx.com/assets/pdf/Privacy%20Policy.pdf,False,N/A, text fine
47,com.coindcx.btc, https://coindcx.com/assets/pdf/Privacy%20Policy.pdf,False,N/A, text fine
49,com.coinlist.trade, https://coinlist.co/privacy,False,en, text fine
63,com.currency.exchange.prod2, https://currency.com/privacy-policy,False,N/A, text fine
66,com.dmaxwallet, https://www.didimax.co.id,False,en, text fine
68,com.dsdaq.mobiletrader, https://www.dsdaq.com/en/privacy.html,False,en, text fine
74,com.farhadmarket.app, https://farhadmarket.com/privacy_policy,False,en, text fine
76,com.flitaa.app, https://flitaa.com/privacy,False,en, text fine
77,com.fluidcoins.fluidcoins, https://www.notion.so/Fluidcoins-Privacy-policy-14a25e1bee5d41179de059b819ada1f7,False,N/A, text fine
78,com.flutter.litebit, https://www.litebit.eu/en/privacy-statement,False,en, text fine
79,com.friendst.strangr, https://strangr.friendst.com/legal,False,en, text fine
80,com.g3shanappz.claimerbox, https://cp.appzsteep.com/application/privacypolicy/index/id/5ee4646dc918f,False,en, text fine
84,com.idbtec.otppaycrypto, http://otppay.com/#/privacypolicy,False,en, text fine
86,com.ixx_android, https://ixx.com/PrivacyPolicy,False,N/A, text fine
88,com.kinesis.kinesisapp, https://kinesis.money/resources/Kinesis-Privacy-Policy.pdf,False,bn, text fine
92,com.maicoin.max, https://max.maicoin.com/privacy,False,ca, text fine
93,com.matrixport.mark, http://invest.matrixport.com/privacy/en,False,N/A, text fine
94,com.monnos.android, https://monnos.com/legal/#privacy-police,False,pt, text fine
95,com.mycontainer, https://www.mycointainer.com/static/media/privacypolicy.7fffe2f6.pdf,False,en, text fine
97,com.net_cents.netcents2, http://net-cents.com/privacy/,False,en, text fine
100,com.nobillio.coinbaazar, https://coinbaazar.com/privacypolicy,False,N/A, text fine
102,com.nova.dax, https://www.novadax.com/company/privacy-policy,False,pt, text fine
