,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
400,com.coinomi.wallet, https://www.coinomi.com/privacy/,False,en, text fine
404,capital.spatium.wallet, https://spatium.net/pp.html,False,en, text fine
407,com.hagglex.hagglex, https://docs.google.com/document/d/1ilG4bcSXuxOP2jVzvsHcs_i6Lg88h0hZpURaMFzsn4E/edit?usp=drivesdk,False,en, text fine
409,io.hexawallet.hexa, https://hexawallet.io/privacy-policy/,False,en, text fine
415,com.incognito.wallet, https://incognito.org/privacy.html,False,en, text fine
419,cobo.wallet, https://webview.cobo.com/internal/des/pp/,False,en, text fine
424,com.medishares.android, https://mathwallet.org/privacy/en/,False,en, text fine
425,com.trusteewallet, https://trustee.deals/,False,en, text fine
428,co.bacoor.android.hbwallet, https://www.hb-wallet.com/privacy-policy,False,en, text fine
430,com.bitpie, https://github.com/bitpiedotcom/bitpiedotcom.github.com/wiki/PrivacyPolicy,False,en, text fine
435,com.iMe.android, https://imem.app/privacy-policy.html,False,en, text fine
436,com.mexcpro.client, https://www.mxc.ai/info/terms,False,en, text fine
441,com.spot.spot, https://www.spot-bitcoin.com/privacy-policy,False,en, text fine
443,com.hconline.iso, https://wallet.starteos.io/privacy/,False,en, text fine
444,it.airgap.wallet, https://airgap.it/privacy-policy/,False,en, text fine
448,im.status.ethereum, https://www.iubenda.com/privacy-policy/45710059,False,en, text fine
451,network.celsius.wallet, https://celsius.network/privacy-policy/,False,en, text fine
