,appId,fraudulent,bugs,authentication,security,usability,ads_tracker,cust_support,total_negative,total,pct_negative,pct_fraud,pct_bugs,pct_auth,pct_sec,pct_usa,pct_ads,pct_cust
80,com.btuprotocol.btu_wallet,1,0,0,0,0,0,0,1,17,5.88,100.0,0.0,0.0,0.0,0.0,0.0,0.0
81,com.buda.crypto,1,0,0,0,0,0,0,20,28,71.43,5.0,0.0,0.0,0.0,0.0,0.0,0.0
82,com.burency.app,1,0,0,0,0,0,0,5,41,12.2,20.0,0.0,0.0,0.0,0.0,0.0,0.0
83,com.buyucoinApp.buyucoin,357,100,138,13,58,3,103,760,1797,42.29,46.97,13.16,18.16,1.71,7.63,0.39,13.55
84,com.callsfreecalls.android,51,34,15,1,41,4,9,481,1413,34.04,10.6,7.07,3.12,0.21,8.52,0.83,1.87
85,com.caramba.RippleWallet,14,2,10,0,3,0,2,47,135,34.81,29.79,4.26,21.28,0.0,6.38,0.0,4.26
86,com.ccwalletapp,0,3,0,0,0,0,1,15,279,5.38,0.0,20.0,0.0,0.0,0.0,0.0,6.67
87,com.cloudmining.mineresp,3,2,0,0,0,0,0,6,8,75.0,50.0,33.33,0.0,0.0,0.0,0.0,0.0
88,com.cobinhood.exchange,21,7,14,1,8,1,16,91,215,42.33,23.08,7.69,15.38,1.1,8.79,1.1,17.58
89,com.coinbase.android,10210,3073,10188,1098,1335,157,4193,31107,102053,30.48,32.82,9.88,32.75,3.53,4.29,0.5,13.48
90,com.coinburp.mobile,5,4,7,0,0,1,5,13,20,65.0,38.46,30.77,53.85,0.0,0.0,7.69,38.46
91,com.coincorner.app.crypt,23,2,14,1,3,0,3,61,96,63.54,37.7,3.28,22.95,1.64,4.92,0.0,4.92
92,com.coindcx,778,326,537,44,199,8,306,2116,5794,36.52,36.77,15.41,25.38,2.08,9.4,0.38,14.46
93,com.coindcx.btc,2593,602,1123,73,576,16,534,6790,15197,44.68,38.19,8.87,16.54,1.08,8.48,0.24,7.86
94,com.coindeal,1,1,5,1,0,0,5,14,36,38.89,7.14,7.14,35.71,7.14,0.0,0.0,35.71
95,com.coinfalcon.mobile,7,1,5,1,1,0,1,22,37,59.46,31.82,4.55,22.73,4.55,4.55,0.0,4.55
96,com.coinhako,123,112,65,9,43,5,37,436,933,46.73,28.21,25.69,14.91,2.06,9.86,1.15,8.49
97,com.coinlist.trade,85,18,110,10,37,0,32,409,483,84.68,20.78,4.4,26.89,2.44,9.05,0.0,7.82
98,com.coinmarket.android,0,0,0,0,0,0,0,3,26,11.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,com.coinmotion,1,0,0,0,0,0,0,1,8,12.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0
100,com.coinomi.wallet,224,169,51,41,60,6,118,944,9906,9.53,23.73,17.9,5.4,4.34,6.36,0.64,12.5
101,com.coinpaprika.coins,10,3,1,2,1,0,2,38,184,20.65,26.32,7.89,2.63,5.26,2.63,0.0,5.26
102,com.coinpay,1,2,0,0,0,0,2,5,13,38.46,20.0,40.0,0.0,0.0,0.0,0.0,40.0
103,com.coinspace.app,19,3,8,0,4,0,3,49,176,27.84,38.78,6.12,16.33,0.0,8.16,0.0,6.12
104,com.coinspot.app,73,67,59,13,30,3,17,336,611,54.99,21.73,19.94,17.56,3.87,8.93,0.89,5.06
105,com.colodax.colodax,2,1,1,1,2,0,1,11,131,8.4,18.18,9.09,9.09,9.09,18.18,0.0,9.09
106,com.coolbitx.cwsapp,6,3,2,0,1,0,8,21,170,12.35,28.57,14.29,9.52,0.0,4.76,0.0,38.1
107,com.counos,5,0,1,2,4,0,0,30,238,12.61,16.67,0.0,3.33,6.67,13.33,0.0,0.0
108,com.crypter.cryptocyrrency,131,115,50,11,21,19,47,523,6242,8.38,25.05,21.99,9.56,2.1,4.02,3.63,8.99
109,com.crypterium,196,66,148,20,48,8,135,518,1486,34.86,37.84,12.74,28.57,3.86,9.27,1.54,26.06
110,com.crypto.multiwallet,45,16,14,5,8,0,11,175,965,18.13,25.71,9.14,8.0,2.86,4.57,0.0,6.29
111,com.cryptocurrency.exchange.app.online,0,0,0,0,0,0,0,1,32,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,com.cryptocurrency.jtechtrade,0,0,0,0,0,0,0,1,5,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,com.cryptonator.android,31,10,18,4,7,0,17,151,687,21.98,20.53,6.62,11.92,2.65,4.64,0.0,11.26
114,com.cryptowallet.deviantx,0,1,1,0,0,0,1,2,4,50.0,0.0,50.0,50.0,0.0,0.0,0.0,50.0
115,com.cryptowallet.si,0,0,0,0,0,0,0,1,35,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,com.currency.exchange.prod2,25,1,13,1,4,0,3,53,209,25.36,47.17,1.89,24.53,1.89,7.55,0.0,5.66
117,com.cwallet,1,1,3,0,0,0,0,7,28,25.0,14.29,14.29,42.86,0.0,0.0,0.0,0.0
118,com.cyberblock.cyberblockmobile,0,0,0,0,0,0,0,1,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,com.czprime,21,12,44,3,12,0,15,155,412,37.62,13.55,7.74,28.39,1.94,7.74,0.0,9.68
120,com.dapppocket,4,2,1,1,1,0,0,23,108,21.3,17.39,8.7,4.35,4.35,4.35,0.0,0.0
121,com.defi.wallet,177,66,52,16,26,2,53,464,991,46.82,38.15,14.22,11.21,3.45,5.6,0.43,11.42
122,com.delieverme,0,2,0,0,1,0,0,19,48,39.58,0.0,10.53,0.0,0.0,5.26,0.0,0.0
