app_id,permission,level
africa.bundle.mobile.app,android.permission.CAMERA,dangerous
africa.bundle.mobile.app,android.permission.WRITE_EXTERNAL_STORAGE,dangerous
africa.bundle.mobile.app,android.permission.READ_CONTACTS,dangerous
africa.bundle.mobile.app,android.permission.WRITE_CONTACTS,dangerous
africa.bundle.mobile.app,android.permission.INTERNET,normal
africa.bundle.mobile.app,android.permission.ACCESS_NETWORK_STATE,normal
africa.bundle.mobile.app,android.permission.USE_FINGERPRINT,normal
africa.bundle.mobile.app,android.permission.GET_ACCOUNTS,dangerous
africa.bundle.mobile.app,android.permission.READ_EXTERNAL_STORAGE,dangerous
africa.bundle.mobile.app,android.permission.ACCESS_MEDIA_LOCATION,dangerous
africa.bundle.mobile.app,android.permission.ACCESS_WIFI_STATE,normal
africa.bundle.mobile.app,android.permission.WAKE_LOCK,normal
africa.bundle.mobile.app,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,Customized 
africa.bundle.mobile.app,com.google.android.providers.gsf.permission.READ_GSERVICES,Customized 
africa.bundle.mobile.app,com.google.android.c2dm.permission.RECEIVE,Customized 
africa.bundle.mobile.app,android.permission.RECEIVE_BOOT_COMPLETED,normal
africa.bundle.mobile.app,android.permission.VIBRATE,normal
africa.bundle.mobile.app,android.permission.USE_FULL_SCREEN_INTENT,normal
africa.bundle.mobile.app,android.permission.USE_BIOMETRIC,normal
africa.bundle.mobile.app,android.permission.FOREGROUND_SERVICE,normal
africa.bundle.mobile.app,com.google.firebase.auth.api.gms.permission.LAUNCH_FEDERATED_SIGN_IN,Customized 
africa.bundle.mobile.app,android.permission.BIND_JOB_SERVICE,Customized 
africa.bundle.mobile.app,com.google.android.gms.auth.api.signin.permission.REVOCATION_NOTIFICATION,Customized 
africa.bundle.mobile.app,com.google.android.c2dm.permission.SEND,Customized 
africa.buycoins.buycoinsx.basic,android.permission.INTERNET,normal
africa.buycoins.buycoinsx.basic,android.permission.VIBRATE,normal
africa.buycoins.buycoinsx.basic,android.permission.WAKE_LOCK,normal
africa.buycoins.buycoinsx.basic,android.permission.ACCESS_NETWORK_STATE,normal
africa.buycoins.buycoinsx.basic,android.permission.CAMERA,dangerous
africa.buycoins.buycoinsx.basic,android.permission.USE_BIOMETRIC,normal
africa.buycoins.buycoinsx.basic,android.permission.USE_FINGERPRINT,normal
africa.buycoins.buycoinsx.basic,com.google.android.c2dm.permission.RECEIVE,Customized 
africa.buycoins.buycoinsx.basic,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,Customized 
africa.buycoins.buycoinsx.basic,android.permission.BIND_JOB_SERVICE,Customized 
africa.buycoins.buycoinsx.basic,com.google.android.gms.auth.api.signin.permission.REVOCATION_NOTIFICATION,Customized 
africa.buycoins.buycoinsx.basic,com.google.android.c2dm.permission.SEND,Customized 
app.goodcrypto,android.permission.INTERNET,normal
app.goodcrypto,android.permission.USE_BIOMETRIC,normal
app.goodcrypto,android.permission.USE_FINGERPRINT,normal
app.goodcrypto,android.permission.ACCESS_NETWORK_STATE,normal
app.goodcrypto,android.permission.WAKE_LOCK,normal
app.goodcrypto,android.permission.GET_ACCOUNTS,dangerous
app.goodcrypto,android.permission.USE_CREDENTIALS,Customized 
app.goodcrypto,android.permission.VIBRATE,normal
app.goodcrypto,android.permission.WRITE_EXTERNAL_STORAGE,dangerous
app.goodcrypto,android.permission.CAMERA,dangerous
app.goodcrypto,android.permission.FLASHLIGHT,Customized 
app.goodcrypto,com.google.android.providers.gsf.permission.READ_GSERVICES,Customized 
app.goodcrypto,com.android.vending.BILLING,Customized 
app.goodcrypto,com.google.android.c2dm.permission.RECEIVE,Customized 
app.goodcrypto,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,Customized 
app.goodcrypto,com.google.firebase.auth.api.gms.permission.LAUNCH_FEDERATED_SIGN_IN,Customized 
app.goodcrypto,com.google.android.gms.auth.api.signin.permission.REVOCATION_NOTIFICATION,Customized 
app.goodcrypto,android.permission.BIND_JOB_SERVICE,Customized 
app.goodcrypto,com.google.android.c2dm.permission.SEND,Customized 
app.goodcrypto,android.permission.INSTALL_PACKAGES,N/A
app.hodlify,android.permission.INTERNET,normal
app.hodlify,android.permission.ACCESS_NETWORK_STATE,normal
app.hodlify,android.permission.READ_EXTERNAL_STORAGE,dangerous
app.hodlify,android.permission.WRITE_EXTERNAL_STORAGE,dangerous
app.hodlify,android.permission.CAMERA,dangerous
app.hodlify,com.android.vending.BILLING,Customized 
app.hodlify,android.permission.BIND_JOB_SERVICE,Customized 
app.odapplications.bitstashwallet,android.permission.INTERNET,normal
app.odapplications.bitstashwallet,android.permission.ACCESS_NETWORK_STATE,normal
app.odapplications.bitstashwallet,android.permission.VIBRATE,normal
app.odapplications.bitstashwallet,android.permission.USE_BIOMETRIC,normal
app.odapplications.bitstashwallet,android.permission.USE_FINGERPRINT,normal
app.odapplications.bitstashwallet,android.permission.CAMERA,dangerous
app.odapplications.bitstashwallet,android.permission.WAKE_LOCK,normal
app.odapplications.bitstashwallet,android.permission.RECEIVE_BOOT_COMPLETED,normal
app.odapplications.bitstashwallet,android.permission.BIND_JOB_SERVICE,Customized 
appinventor.ai_mlmsolution88.Troquer,android.permission.INTERNET,normal
appinventor.ai_mlmsolution88.Troquer,android.permission.ACCESS_NETWORK_STATE,normal
appinventor.ai_mlmsolution88.Troquer,android.permission.ACCESS_WIFI_STATE,normal
appinventor.ai_Traid777.WALLETBTC,android.permission.INTERNET,normal
appinventor.ai_Traid777.WALLETBTC,android.permission.ACCESS_NETWORK_STATE,normal
appinventor.ai_Traid777.WALLETBTC,android.permission.ACCESS_WIFI_STATE,normal
appinventor.ai_Traid777.WALLETBTC,android.permission.READ_EXTERNAL_STORAGE,dangerous
bitcoin.twenty.twenty,android.permission.INTERNET,normal
bitcoin.twenty.twenty,android.permission.CAMERA,dangerous
ca.merkley.starter,android.permission.INTERNET,normal
ca.merkley.starter,android.permission.WRITE_EXTERNAL_STORAGE,dangerous
ca.merkley.starter,android.permission.CAMERA,dangerous
ca.merkley.starter,android.permission.GET_ACCOUNTS,dangerous
cash.usdx.wallet,android.permission.INTERNET,normal
cash.usdx.wallet,android.permission.RECEIVE_BOOT_COMPLETED,normal
cash.usdx.wallet,android.permission.CAMERA,dangerous
cash.usdx.wallet,android.permission.VIBRATE,normal
cash.usdx.wallet,android.permission.USE_FINGERPRINT,normal
cash.usdx.wallet,android.permission.READ_PROFILE,Customized 
cash.usdx.wallet,android.permission.READ_CONTACTS,dangerous
cash.usdx.wallet,android.permission.ACCESS_NETWORK_STATE,normal
cash.usdx.wallet,android.permission.WAKE_LOCK,normal
cash.usdx.wallet,com.google.android.c2dm.permission.RECEIVE,Customized 
cash.usdx.wallet,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,Customized 
cash.usdx.wallet,com.google.firebase.auth.api.gms.permission.LAUNCH_FEDERATED_SIGN_IN,Customized 
cash.usdx.wallet,android.permission.BIND_JOB_SERVICE,Customized 
cash.usdx.wallet,com.google.android.c2dm.permission.SEND,Customized 
cash.usdx.wallet,android.permission.INSTALL_PACKAGES,N/A
co.bitx.android.wallet,android.permission.INTERNET,normal
co.bitx.android.wallet,android.permission.ACCESS_NETWORK_STATE,normal
co.bitx.android.wallet,android.permission.READ_PROFILE,Customized 
co.bitx.android.wallet,android.permission.READ_CONTACTS,dangerous
co.bitx.android.wallet,android.permission.GET_ACCOUNTS,dangerous
co.bitx.android.wallet,android.permission.CAMERA,dangerous
co.bitx.android.wallet,android.permission.READ_EXTERNAL_STORAGE,dangerous
co.bitx.android.wallet,android.permission.WRITE_EXTERNAL_STORAGE,dangerous
co.bitx.android.wallet,android.permission.VIBRATE,normal
co.bitx.android.wallet,android.permission.USE_BIOMETRIC,normal
co.bitx.android.wallet,android.permission.USE_FINGERPRINT,normal
co.bitx.android.wallet,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,Customized 
co.bitx.android.wallet,android.permission.RECORD_AUDIO,dangerous
co.bitx.android.wallet,android.permission.WAKE_LOCK,normal
co.bitx.android.wallet,android.permission.RECEIVE_BOOT_COMPLETED,normal
co.bitx.android.wallet,android.permission.FOREGROUND_SERVICE,normal
co.bitx.android.wallet,com.google.android.c2dm.permission.RECEIVE,Customized 
co.bitx.android.wallet,com.android.vending.CHECK_LICENSE,Customized 
co.bitx.android.wallet,android.permission.BIND_JOB_SERVICE,Customized 
co.bitx.android.wallet,com.google.android.gms.auth.api.signin.permission.REVOCATION_NOTIFICATION,Customized 
co.bitx.android.wallet,android.permission.DUMP,N/A
co.bitx.android.wallet,com.google.android.c2dm.permission.SEND,Customized 
co.hodlwallet,android.permission.CAMERA,dangerous
co.hodlwallet,android.permission.INTERNET,normal
co.hodlwallet,android.permission.WAKE_LOCK,normal
co.hodlwallet,android.permission.WRITE_EXTERNAL_STORAGE,dangerous
co.hodlwallet,android.permission.WRITE_INTERNAL_STORAGE,Customized 
co.hodlwallet,android.permission.READ_EXTERNAL_STORAGE,dangerous
co.hodlwallet,android.permission.READ_INTERNAL_STORAGE,Customized 
co.hodlwallet,android.permission.ACCESS_NETWORK_STATE,normal
co.hodlwallet,android.permission.USE_FINGERPRINT,normal
co.hodlwallet,android.permission.DISABLE_KEYGUARD,normal
co.id.dompet.btc.indonesia,android.permission.INTERNET,normal
