app_name,anti_vm,obfuscator,anti_debug,anti_disassembly,manipulator,packer
com.okinc.okex.gp,True,False,True,False,False,False
com.panaeshacapital.pcex,True,False,False,False,False,False
com.payperless.wallet,True,False,False,False,False,False
com.payplux,True,True,True,False,False,False
com.payscript,True,False,False,False,False,False
com.phemex.app,True,True,True,False,False,False
com.plasmapay.androidapp,True,False,True,False,False,False
com.plunien.poloniex,True,False,True,False,False,False
com.pointpay.bank,True,False,True,False,False,False
com.polispay.copay,True,False,True,False,False,False
com.profittrading.forcoinbase,True,False,True,False,False,False
com.qsoft.mybtc,True,False,False,False,False,False
com.qubris.freecryptofaucet,True,False,False,False,False,False
com.quidax.app,True,False,True,False,False,False
com.remint.app,True,False,True,False,False,False
com.remitano.remitano,True,False,True,False,False,False
com.saltlending.mobile,True,True,True,False,False,False
com.sculptech.dtrax,True,False,True,False,False,False
com.sencoinex.android,True,False,True,False,False,False
com.shapeshift.droid_shapeshift,True,False,True,False,False,False
com.silvercoinvaluerpro,True,False,False,False,False,False
com.skyewallet.skye_wallet,True,False,False,False,False,False
com.stocksexchange.android,True,False,True,False,False,False
com.studentcoin,True,False,True,False,False,False
com.supremexchange,True,False,True,False,False,False
com.titan.coin,True,False,False,False,False,False
com.viabtc.pool,True,False,False,False,False,False
com.wallet.ela,True,False,True,False,False,False
com.whitebit.android,True,False,True,False,False,False
com.wrx.wazirx,True,True,True,False,False,False
com.wswap.wallet,True,False,True,False,False,False
com.xbond.exchange,True,False,False,False,False,False
com.yamishibai.easycryptowallet123,True,False,True,False,False,False
com.zenafinance,True,False,False,False,False,False
crypto.cc.atc,True,False,False,False,False,False
crypto.wallet.chainapp,True,False,True,False,False,False
de.schildbach.wallet,True,False,False,False,False,False
finance.earna.app,True,False,False,False,False,False
i.brains.pandax,True,False,True,False,False,False
im.yitoken.app.g2,True,False,False,False,False,False
io.bincap.exchange,True,True,True,False,False,False
io.bolt.mibwallet,True,False,True,False,False,False
io.cex.app.prod,True,False,True,False,False,False
io.exaking.starter,True,False,True,False,False,False
io.kriptomat.app,True,True,True,False,False,False
io.metamask,True,False,True,False,False,False
io.nash.app,True,False,True,False,False,False
io.rscoins.network,True,False,False,False,False,False
io.uun.clet,True,False,True,False,False,False
io.wallet,True,False,False,False,False,False
io.yellowcard.app,False,False,False,False,False,False
it.airgap.vault,True,False,True,False,False,False
latoken.kucoin.trustapp.zebpay.coinmarketcap.coindcx,True,False,True,False,False,False
me.coinpal.app,True,False,True,False,False,False
me.cryptopay.android,True,False,True,False,False,False
net.bitbay.bitcoin,True,False,True,False,False,False
net.bitcoinrevolution.bitcoin.cash.wallet,True,False,False,False,False,False
net.bitstamp.app,True,False,True,False,False,False
net.iconomi.android,True,False,True,False,False,False
net.tendancesbitcoin.free.bitcoin.bch.wallet,True,False,False,False,False,False
network.xyo.coin,True,True,True,False,False,False
new.rich.wallet,True,False,False,False,False,False
org.coinid.vault,True,False,True,False,False,False
org.cryptoblastersltd.bitcoin.wallet.account,True,False,False,False,False,False
org.cryptoforecast.free.bitcoin.cash.wallet.app,True,False,False,False,False,False
org.cryptosignals.bitcoin.free.wallet,True,False,False,False,False,False
org.cryptosignals.bitcoin.free.wallet1,True,False,False,False,False,False
org.cryptosignals.free.bitcoin.cash.wallet,True,False,False,False,False,False
org.deuscoin.wallet,True,False,True,False,False,False
org.nativescript.mywallets,True,False,False,False,False,False
org.qbita.bitcoin_wallet,False,False,False,False,False,False
org.strayacoin.bitcoinpos,True,False,True,False,False,False
org.strayacoin.litecoinpos,True,False,True,False,False,False
org.tronspace.android,True,False,True,False,False,False
paydeepp.elegro.io,True,False,True,False,False,False
roseon.finance,True,False,True,False,False,False
starlab.studios.cryptowallet,True,False,False,False,False,False
tech.central.ctocoin,True,False,True,False,False,False
urubit.uwallet.app,True,False,True,False,False,False
com.vidulumwallet.app,False,False,False,False,False,False
com.cryonik.webview,False,False,False,False,False,False
com.Bitplicity.Bitplicityapp,True,False,False,False,False,False
za.co.rockwallet,False,False,False,False,False,False
com.hamrasta.hwallet,False,False,False,False,False,False
hodl.group.xrpio,True,False,False,False,False,False
com.fitbobcat.litecoinplus,False,False,False,False,False,False
com.bitbar.androidwallet,False,False,False,False,False,False
com.fluttercoin.androidwallet,False,False,False,False,False,False
com.bitcoinscrypt.androidwallet,False,False,False,False,False,False
com.bitcoinfast.androidwallet,False,False,False,False,False,False
com.magnum.wallet,True,False,True,False,False,False
pt.ipleiria.estg.dei.yabw,True,False,True,False,False,False
de.schildbach.wallet.goldcoin,True,False,False,False,False,False
com.thinkdevs.cryptomarket,True,False,False,False,False,False
appinventor.ai_oldgoldmen.CryptoWallet,True,True,False,False,False,False
io.crypto.wallet.bitcoin.ethereum.medooza.wallet,True,False,False,False,False,False
com.altcoin.wallet,False,False,False,False,False,False
com.factwallet.crypto.factwallet,True,False,False,False,False,False
com.simple.crypto.wallet,True,False,False,False,False,False
info.mysecurewallet.wallet,True,False,False,False,False,False
org.coinsence.wallet,True,False,True,False,False,False
com.lynengine.beautycryptowallet,True,False,True,False,False,False
com.bitcoin.wallet.cryptopuce,True,False,False,False,False,False
de.langerhans.wallet,True,False,False,False,False,False
net.bither,False,False,False,False,False,False
com.cryptowallet.si,True,False,True,False,False,False
co.ethv2,False,False,False,False,False,False
com.lightning.walletapp,True,False,False,False,False,False
com.visionwallet.app,True,False,True,False,False,False
net.ethylyte.com,True,False,False,False,False,False
com.ankerpay.wallet,False,False,False,False,False,False
com.coinspace.app,True,False,True,False,False,False
gbbit.app.wallet,True,False,False,False,False,False
com.newcurrency.coinstrunk.v1,True,False,True,False,False,False
cash.simply.wallet,True,False,True,False,False,False
com.paytomat,True,True,True,False,False,False
crypto.stars.wallet,True,False,False,False,False,False
eth.org.freewallet.app,True,True,True,False,False,False
nxt.org.freewallet.app,True,True,True,False,False,False
xmr.org.freewallet.app,True,True,True,False,False,False
btc.org.freewallet.app,True,True,True,False,False,False
xrp.org.freewallet.app,True,True,True,False,False,False
com.luneswallet,True,False,False,False,False,False
usdt.org.freewallet.app,True,True,True,False,False,False
io.smartholdem.client,True,False,True,False,False,False
com.caramba.RippleWallet,True,False,True,False,False,False
neo.org.freewallet.app,True,True,True,False,False,False
trx.org.freewallet.app,True,True,True,False,False,False
bcn.org.freewallet.app,True,True,True,False,False,False
eos.org.freewallet.app,True,True,True,False,False,False
ltcc.org.freewallet.app,True,True,True,False,False,False
bcc.org.freewallet.app,True,True,True,False,False,False
tech.vontech.blockchain.jetoken,True,False,True,False,False,False
com.lkrcoin.wallet,False,False,False,False,False,False
btg.org.freewallet.app,True,True,True,False,False,False
app.codecellar.embitwallet,True,False,False,False,False,False
doge.org.freewallet.app,True,True,True,False,False,False
org.walleth,True,False,False,False,False,False
io.melis.clientwallet,True,False,True,False,False,False
com.skycoin.wallet,True,False,True,False,False,False
io.deviantcoin.android,True,False,False,False,False,False
com.kipcoinProject.kipcoinwallet,True,False,False,False,False,False
augstrain.asn,True,False,True,True,False,False
com.bitlox.mobilewallet,True,False,True,False,False,False
com.cryptonator.android,True,False,True,False,False,False
com.bitcoin.wallet.btc.testnet,True,False,True,False,False,False
com.bitzhash.wallet.bitcoin,True,False,False,False,False,False
com.aspanta.emcsec,True,False,False,False,False,False
com.coinorbis.wallet,True,False,False,False,False,False
pe.bluemountain419.jungledex,True,False,True,True,False,False
