app_id,lib_name,lib_type,TargetedAds,MobileAnalytics,Analytics,AnyTrackingLibrary
com.newgo.coincola,Jakewharton,Ui component,False,False,False,False
com.newgo.coincola,Fasterxml,Utility,False,False,False,False
com.newgo.coincola,Facebook,Social networking service,False,False,False,False
com.newgo.coincola,Bumptech,Utility,False,False,False,False
com.newgo.coincola,Tencent,Targeted ads,True,False,False,True
com.nexowallet,Github,Utility,False,False,False,False
com.nexowallet,Facebook,Social networking service,False,False,False,False
com.nexowallet,Adobe,Utility,False,False,False,False
com.nexowallet,Google Ads,Targeted ads,True,False,False,True
com.nobillio.coinbaazar,Jakewharton,Ui component,False,False,False,False
com.nobillio.coinbaazar,Squareup,Payment,False,False,False,False
com.nobillio.coinbaazar,Facebook,Social networking service,False,False,False,False
com.nobillio.coinbaazar,Adobe,Utility,False,False,False,False
com.nobillio.coinbaazar,Google Ads,Targeted ads,True,False,False,True
com.node.coindirect,Facebook,Social networking service,False,False,False,False
com.node.coindirect,Google Ads,Targeted ads,True,False,False,True
com.nova.dax,Crashlytics,Utilities,False,False,False,False
com.nova.dax,Facebook,Social networking service,False,False,False,False
com.nova.dax,Appsflyer,Targeted ads,True,False,False,True
com.nova.dax,Adobe,Utility,False,False,False,False
com.nova.dax,Google Ads,Targeted ads,True,False,False,True
com.okinc.okex.gp,Jakewharton,Ui component,False,False,False,False
com.okinc.okex.gp,Github,Utility,False,False,False,False
com.okinc.okex.gp,Facebook,Social networking service,False,False,False,False
com.okinc.okex.gp,Appsflyer,Targeted ads,True,False,False,True
com.okinc.okex.gp,Bumptech,Utility,False,False,False,False
com.okinc.okex.gp,Squareup,Payment,False,False,False,False
com.okinc.okex.gp,Umeng,Mobile analytics,False,True,False,True
com.okinc.okex.gp,Tencent,Targeted ads,True,False,False,True
com.panaeshacapital.pcex,Facebook,Social networking service,False,False,False,False
com.panaeshacapital.pcex,Bumptech,Utility,False,False,False,False
com.panaeshacapital.pcex,Google Ads,Targeted ads,True,False,False,True
com.panaeshacapital.pcex,Google Analytics,Mobile analytics,False,True,False,True
com.payperless.wallet,Squareup,Payment,False,False,False,False
