file_name,signature,key_length
com.wallet.ela.apk, SHA256 + RSA, 4096-bit RSA key
com.whitebit.android.apk, SHA256 + RSA, 4096-bit RSA key
com.wrx.wazirx.apk, SHA256 + RSA, 2048-bit RSA key
com.wswap.wallet.apk, SHA256 + RSA, 4096-bit RSA key
com.xbond.exchange.apk, SHA256 + RSA, 4096-bit RSA key
com.yamishibai.easycryptowallet123.apk, SHA256 + RSA, 4096-bit RSA key
com.zenafinance.apk, SHA256 + RSA, 4096-bit RSA key
crypto.cc.atc.apk, SHA256 + RSA, 4096-bit RSA key
crypto.wallet.chainapp.apk, SHA256 + RSA, 2048-bit RSA key
de.schildbach.wallet.apk, SHA1 + RSA (weak), 2048-bit RSA key
finance.earna.app.apk, SHA256 + RSA, 4096-bit RSA key
i.brains.pandax.apk, SHA256 + RSA, 4096-bit RSA key
im.yitoken.app.g2.apk, SHA256 + RSA, 4096-bit RSA key
io.bincap.exchange.apk, SHA256 + RSA, 4096-bit RSA key
io.bolt.mibwallet.apk, SHA256 + RSA, 4096-bit RSA key
io.cex.app.prod.apk, SHA256 + RSA, 2048-bit RSA key
io.exaking.starter.apk, SHA256 + RSA, 4096-bit RSA key
io.kriptomat.app.apk, SHA256 + RSA, 4096-bit RSA key
io.metamask.apk, SHA256 + RSA, 4096-bit RSA key
io.nash.app.apk, SHA256 + RSA, 4096-bit RSA key
io.rscoins.network.apk, SHA256 + RSA, 2048-bit RSA key
io.uun.clet.apk, SHA256 + RSA, 4096-bit RSA key
io.wallet.apk, SHA256 + RSA, 4096-bit RSA key
io.yellowcard.app.apk, SHA256 + RSA, 2048-bit RSA key
it.airgap.vault.apk, SHA256 + RSA, 2048-bit RSA key
latoken.kucoin.trustapp.zebpay.coinmarketcap.coindcx.apk, SHA256 + RSA, 4096-bit RSA key
me.coinpal.app.apk, SHA256 + RSA, 4096-bit RSA key
me.cryptopay.android.apk, SHA256 + RSA, 4096-bit RSA key
net.bitbay.bitcoin.apk, SHA256 + RSA, 4096-bit RSA key
net.bitcoinrevolution.bitcoin.cash.wallet.apk, SHA1 + RSA (weak), 2048-bit RSA key
net.bitstamp.app.apk, SHA256 + RSA, 2048-bit RSA key
net.iconomi.android.apk, SHA256 + RSA, 4096-bit RSA key
net.tendancesbitcoin.free.bitcoin.bch.wallet.apk, SHA1 + RSA (weak), 2048-bit RSA key
network.xyo.coin.apk, SHA256 + RSA, 4096-bit RSA key
new.rich.wallet.apk, SHA256 + RSA, 4096-bit RSA key
org.coinid.vault.apk, SHA256 + RSA, 2048-bit RSA key
org.cryptoblastersltd.bitcoin.wallet.account.apk, SHA1 + RSA (weak), 2048-bit RSA key
org.cryptoforecast.free.bitcoin.cash.wallet.app.apk, SHA1 + RSA (weak), 2048-bit RSA key
org.cryptosignals.bitcoin.free.wallet.apk, SHA1 + RSA (weak), 2048-bit RSA key
org.cryptosignals.bitcoin.free.wallet1.apk, SHA1 + RSA (weak), 2048-bit RSA key
org.cryptosignals.free.bitcoin.cash.wallet.apk, SHA1 + RSA (weak), 2048-bit RSA key
org.deuscoin.wallet.apk, SHA256 + RSA, 2048-bit RSA key
org.nativescript.mywallets.apk, SHA256 + RSA, 4096-bit RSA key
org.qbita.bitcoin_wallet.apk, SHA256 + RSA, 4096-bit RSA key
org.strayacoin.bitcoinpos.apk, SHA256 + RSA, 4096-bit RSA key
org.strayacoin.litecoinpos.apk, SHA256 + RSA, 4096-bit RSA key
org.tronspace.android.apk, SHA256 + RSA, 4096-bit RSA key
paydeepp.elegro.io.apk, SHA256 + RSA, 4096-bit RSA key
roseon.finance.apk, SHA256 + RSA, 4096-bit RSA key
starlab.studios.cryptowallet.apk, SHA256 + RSA, 4096-bit RSA key
tech.central.ctocoin.apk, SHA256 + RSA, 4096-bit RSA key
urubit.uwallet.app.apk, SHA256 + RSA, 4096-bit RSA key
com.vidulumwallet.app.apk, SHA256 + RSA, 2048-bit RSA key
com.cryonik.webview.apk, SHA256 + RSA, 4096-bit RSA key
com.Bitplicity.Bitplicityapp.apk, SHA256 + RSA, 4096-bit RSA key
za.co.rockwallet.apk, SHA256 + RSA, 4096-bit RSA key
com.hamrasta.hwallet.apk, SHA256 + RSA, 2048-bit RSA key
hodl.group.xrpio.apk, SHA256 + RSA, 4096-bit RSA key
com.fitbobcat.litecoinplus.apk, SHA256 + RSA, 2048-bit RSA key
com.bitbar.androidwallet.apk, SHA256 + RSA, 4096-bit RSA key
com.fluttercoin.androidwallet.apk, SHA256 + RSA, 4096-bit RSA key
com.bitcoinscrypt.androidwallet.apk, SHA256 + RSA, 4096-bit RSA key
com.bitcoinfast.androidwallet.apk, SHA256 + RSA, 4096-bit RSA key
com.magnum.wallet.apk, SHA256 + RSA, 4096-bit RSA key
pt.ipleiria.estg.dei.yabw.apk, SHA256 + RSA, 4096-bit RSA key
de.schildbach.wallet.goldcoin.apk, SHA256 + RSA, 2048-bit RSA key
com.thinkdevs.cryptomarket.apk, SHA256 + RSA, 4096-bit RSA key
appinventor.ai_oldgoldmen.CryptoWallet.apk, SHA256 + RSA, 2048-bit RSA key
io.crypto.wallet.bitcoin.ethereum.medooza.wallet.apk, SHA256 + RSA, 4096-bit RSA key
com.altcoin.wallet.apk, SHA256 + RSA, 4096-bit RSA key
com.factwallet.crypto.factwallet.apk, SHA256 + RSA, 4096-bit RSA key
com.simple.crypto.wallet.apk, SHA256 + RSA, 4096-bit RSA key
info.mysecurewallet.wallet.apk, SHA256 + RSA, 4096-bit RSA key
org.coinsence.wallet.apk, SHA256 + RSA, 4096-bit RSA key
com.lynengine.beautycryptowallet.apk, SHA256 + RSA, 4096-bit RSA key
com.bitcoin.wallet.cryptopuce.apk, SHA256 + RSA, 4096-bit RSA key
de.langerhans.wallet.apk, SHA256 + RSA, 2048-bit RSA key
net.bither.apk, SHA256 + RSA, 2048-bit RSA key
com.cryptowallet.si.apk, SHA256 + RSA, 4096-bit RSA key
co.ethv2.apk, SHA256 + RSA, 4096-bit RSA key
com.lightning.walletapp.apk, SHA256 + RSA, 4096-bit RSA key
com.visionwallet.app.apk, SHA256 + RSA, 4096-bit RSA key
net.ethylyte.com.apk, SHA256 + RSA, 4096-bit RSA key
com.ankerpay.wallet.apk, SHA256 + RSA, 2048-bit RSA key
com.coinspace.app.apk, SHA256 + RSA, 2048-bit RSA key
gbbit.app.wallet.apk, SHA256 + RSA, 2048-bit RSA key
com.newcurrency.coinstrunk.v1.apk, SHA256 + RSA, 4096-bit RSA key
cash.simply.wallet.apk, SHA256 + RSA, 4096-bit RSA key
com.paytomat.apk, SHA256 + RSA, 4096-bit RSA key
crypto.stars.wallet.apk, SHA256 + RSA, 4096-bit RSA key
eth.org.freewallet.app.apk, SHA256 + RSA, 2048-bit RSA key
nxt.org.freewallet.app.apk, SHA256 + RSA, 2048-bit RSA key
xmr.org.freewallet.app.apk, SHA256 + RSA, 2048-bit RSA key
btc.org.freewallet.app.apk, SHA256 + RSA, 2048-bit RSA key
xrp.org.freewallet.app.apk, SHA256 + RSA, 2048-bit RSA key
com.luneswallet.apk, SHA256 + RSA, 2048-bit RSA key
usdt.org.freewallet.app.apk, SHA256 + RSA, 2048-bit RSA key
io.smartholdem.client.apk, SHA256 + RSA, 4096-bit RSA key
com.caramba.RippleWallet.apk, SHA256 + RSA, 4096-bit RSA key
neo.org.freewallet.app.apk, SHA256 + RSA, 2048-bit RSA key
trx.org.freewallet.app.apk, SHA256 + RSA, 2048-bit RSA key
bcn.org.freewallet.app.apk, SHA256 + RSA, 2048-bit RSA key
eos.org.freewallet.app.apk, SHA256 + RSA, 2048-bit RSA key
ltcc.org.freewallet.app.apk, SHA256 + RSA, 2048-bit RSA key
bcc.org.freewallet.app.apk, SHA256 + RSA, 2048-bit RSA key
tech.vontech.blockchain.jetoken.apk, SHA256 + RSA, 4096-bit RSA key
com.lkrcoin.wallet.apk, SHA256 + RSA, 2048-bit RSA key
btg.org.freewallet.app.apk, SHA256 + RSA, 2048-bit RSA key
app.codecellar.embitwallet.apk, SHA256 + RSA, 2048-bit RSA key
doge.org.freewallet.app.apk, SHA256 + RSA, 2048-bit RSA key
org.walleth.apk, SHA256 + RSA, 4096-bit RSA key
io.melis.clientwallet.apk, SHA256 + RSA, 3072-bit RSA key
com.skycoin.wallet.apk, SHA256 + RSA, 2048-bit RSA key
io.deviantcoin.android.apk, SHA256 + RSA, 4096-bit RSA key
com.kipcoinProject.kipcoinwallet.apk, SHA256 + RSA, 4096-bit RSA key
augstrain.asn.apk, SHA256 + RSA, 4096-bit RSA key
com.bitlox.mobilewallet.apk, SHA256 + RSA, 4096-bit RSA key
com.cryptonator.android.apk, SHA256 + RSA, 4096-bit RSA key
com.bitcoin.wallet.btc.testnet.apk, SHA256 + RSA, 4096-bit RSA key
com.bitzhash.wallet.bitcoin.apk, SHA256 + RSA, 2048-bit RSA key
com.aspanta.emcsec.apk, SHA256 + RSA, 4096-bit RSA key
com.coinorbis.wallet.apk, SHA256 + RSA, 4096-bit RSA key
pe.bluemountain419.jungledex.apk, SHA256 + RSA, 4096-bit RSA key
com.krypto.apk, SHA256 + RSA, 2048-bit RSA key
com.bitcoinblockchain.suyd.apk, SHA256 + RSA, 4096-bit RSA key
com.cwallet.apk, SHA256 + RSA, 4096-bit RSA key
com.delieverme.apk, SHA256 + RSA, 4096-bit RSA key
com.allcoinwallet.allcoinwallet.apk, SHA256 + RSA, 4096-bit RSA key
com.erdtoken.android.apk, SHA256 + RSA, 4096-bit RSA key
io.totalcoin.wallet.apk, SHA256 + RSA, 4096-bit RSA key
com.credtech.apk, SHA256 + RSA, 4096-bit RSA key
io.kompasswallet.apk,error,error
com.bitcoinindia.Btciapp.apk, SHA256 + RSA, 2048-bit RSA key
zapsolutions.zap.apk, SHA384 + RSA, 4096-bit RSA key
com.cryptowallet.deviantx.apk, SHA256 + RSA, 4096-bit RSA key
com.monederoapp.apk, SHA256 + RSA, 4096-bit RSA key
lt.spectrofinance.spectrocoin.android.wallet.apk, SHA256 + RSA, 2048-bit RSA key
everex.transfer.apk, SHA256 + RSA, 2048-bit RSA key
mw.org.freewallet.app.apk, SHA256 + RSA, 2048-bit RSA key
com.alpha.wallet.apk, SHA256 + RSA, 2048-bit RSA key
com.leadwallet.io.apk, SHA256 + RSA, 2048-bit RSA key
com.bitorzo.wallet.apk, SHA256 + RSA, 4096-bit RSA key
com.lingxi.bexplus.apk, SHA256 + RSA, 4096-bit RSA key
com.portto.blocto.apk, SHA256 + RSA, 4096-bit RSA key
com.elrond.maiar.wallet.apk,error,error
com.lumicollect.android.apk, SHA256 + RSA, 2048-bit RSA key
io.eidoo.wallet.prodnet.apk, SHA256 + RSA, 2048-bit RSA key
com.blocktrail.mywallet.apk, SHA256 + RSA, 2048-bit RSA key
com.prizmbit.apk, SHA256 + RSA, 4096-bit RSA key
com.sparkpoint.apk, SHA256 + RSA, 4096-bit RSA key
com.xufagroup.cryptowallet.apk, SHA256 + RSA, 4096-bit RSA key
io.eosnova.wallet.android.apk, SHA256 + RSA, 4096-bit RSA key
com.bolowallet.apk, SHA256 + RSA, 4096-bit RSA key
com.atlas.mobile.wallet.apk, SHA256 + RSA, 2048-bit RSA key
mn.godeal.gopay.apk, SHA256 + RSA, 2048-bit RSA key
com.btcc.mobiwallet.apk, SHA256 + RSA, 4096-bit RSA key
com.zengo.wallet.apk, SHA256 + RSA, 4096-bit RSA key
com.lumiwallet.android.apk, SHA256 + RSA, 4096-bit RSA key
com.maxxwallet.apk, SHA256 + RSA, 4096-bit RSA key
io.atomicwallet.apk, SHA256 + RSA, 4096-bit RSA key
com.masterbitexpress.wallet.apk, SHA256 + RSA, 2048-bit RSA key
com.zixipay.wallet.apk, SHA256 + RSA, 2048-bit RSA key
piuk.blockchain.android.apk, SHA256 + RSA, 2048-bit RSA key
com.zelcash.zelcore.apk, SHA256 + RSA, 4096-bit RSA key
com.quppy.apk, SHA256 + RSA, 4096-bit RSA key
com.sixwallet.apk, SHA256 + RSA, 4096-bit RSA key
de.fuf.bitbucks.apk, SHA256 + RSA, 4096-bit RSA key
com.exchangily.wallet.apk, SHA256 + RSA, 4096-bit RSA key
com.airwalletofficial.air_wallet.apk, SHA256 + RSA, 4096-bit RSA key
com.airbitz.apk, SHA1 + RSA (weak), 1024-bit RSA key (weak)
com.wirex.apk, SHA1 + RSA (weak), 1024-bit RSA key (weak)
com.polehin.android.apk, SHA256 + RSA, 4096-bit RSA key
co.busha.android.apk, SHA256 + RSA, 2048-bit RSA key
com.liberty.jaxx.apk, SHA256 + RSA, 4096-bit RSA key
com.valr.app.apk, SHA256 + RSA, 4096-bit RSA key
com.agile.walletapp.apk, SHA256 + RSA, 4096-bit RSA key
com.cyberblock.cyberblockmobile.apk, SHA256 + RSA, 4096-bit RSA key
com.buyucoinApp.buyucoin.apk, SHA256 + RSA, 4096-bit RSA key
com.hotbtc.exchange.apk, SHA256 + RSA, 4096-bit RSA key
com.ellipal.wallet.apk, SHA256 + RSA, 2048-bit RSA key
com.bitpay.coincloud.apk, SHA256 + RSA, 4096-bit RSA key
com.sixpencer.simplework.apk, SHA256 + RSA, 4096-bit RSA key
com.dapppocket.apk, SHA256 + RSA, 4096-bit RSA key
global.bithumb.android.apk, SHA256 + RSA, 2048-bit RSA key
com.BitcoinWalletExchange.org.apk, SHA1 + RSA (weak), 2048-bit RSA key
com.loafwallet.apk, SHA256 + RSA, 2048-bit RSA key
net.coinpayments.coinpaymentsapp.apk, SHA256 + RSA, 2048-bit RSA key
com.ownrwallet.wallet.apk, SHA256 + RSA, 2048-bit RSA key
one.mixin.messenger.apk, SHA256 + RSA, 4096-bit RSA key
org.electrum.electrum.apk, SHA256 + RSA, 2048-bit RSA key
com.latoken.wallet.apk, SHA256 + RSA, 4096-bit RSA key
com.savl.apk, SHA256 + RSA, 4096-bit RSA key
app.bankowallet.android.apk, SHA1 + RSA (weak), 4096-bit RSA key
bitmesh.volt.wallet.apk, SHA256 + RSA, 4096-bit RSA key
com.ccwalletapp.apk, SHA256 + RSA, 4096-bit RSA key
com.coincorner.app.crypt.apk, SHA256 + RSA, 2048-bit RSA key
com.pint.app.apk, SHA256 + RSA, 4096-bit RSA key
com.defi.wallet.apk, SHA256 + RSA, 4096-bit RSA key
com.bitzapp.apk, SHA256 + RSA, 2048-bit RSA key
blackdollar.bdlr.token.coin.apk, SHA256 + RSA, 4096-bit RSA key
com.inigma.wallet.apk, SHA256 + RSA, 2048-bit RSA key
com.mycelium.wallet.apk, SHA256 + RSA, 2048-bit RSA key
com.stasis.stasiswallet.apk, SHA256 + RSA, 2048-bit RSA key
com.blockchain.bitcoin.wallet.apk,error,error
