app_id;lib_name
africa.bundle.mobile.app;Appsflyer
africa.bundle.mobile.app;Bumptech
africa.bundle.mobile.app;Google Ads
africa.bundle.mobile.app;Jakewharton
africa.bundle.mobile.app;Squareup
africa.bundle.mobile.app;Facebook
africa.buycoins.buycoinsx.basic;Facebook
africa.buycoins.buycoinsx.basic;Adobe
app.goodcrypto;Squareup
app.goodcrypto;Twitter
app.goodcrypto;Phonegap
app.goodcrypto;Facebook
app.goodcrypto;Google Ads
app.hodlify;Fasterxml
app.odapplications.bitstashwallet;Squareup
app.odapplications.bitstashwallet;Fasterxml
app.odapplications.bitstashwallet;Eclipse
bitcoin.twenty.twenty;Squareup
bitcoin.twenty.twenty;Jcraft
bitcoin.twenty.twenty;Github
bitcoin.twenty.twenty;Jakewharton
cash.usdx.wallet;Squareup
cash.usdx.wallet;Facebook
cash.usdx.wallet;Adobe
cash.usdx.wallet;Google Ads
co.bitx.android.wallet;Fasterxml
co.bitx.android.wallet;Github
co.bitx.android.wallet;Facebook
co.bitx.android.wallet;Bumptech
co.bitx.android.wallet;Google Analytics
co.bitx.android.wallet;Squareup
co.hodlwallet;Squareup
co.id.dompet.btc.indonesia;Github
co.id.dompet.btc.indonesia;Crashlytics
co.id.dompet.btc.indonesia;Google Ads
com.adb.adbcoin;Squareup
com.adb.adbcoin;Github
com.adb.adbcoin;Facebook
com.adb.adbcoin;Bumptech
com.anxbtc.android;Fasterxml
com.anxbtc.android;Jakewharton
com.anxbtc.android;Squareup
com.app.asbazar59;Bumptech
com.app.asbazar59;Google Ads
com.app.belfrics;Jakewharton
com.app.belfrics;Squareup
com.app.belfrics;Fasterxml
com.app.belfrics;Github
com.app.belfrics;Crashlytics
com.app.belfrics;Google Ads
com.app.belfrics;Google Analytics
com.application.bitcoiva;Github
com.application.blocdesk;Crashlytics
com.application.blocdesk;Google Ads
com.apptrack.coinom;Squareup
com.apptrack.coinom;Fasterxml
com.apptrack.coinom;Google Ads
com.bcoiner.webviewapp;Google Ads
com.bcoiner.webviewapp;Google Analytics
com.bitbns;Github
com.bitbns;Facebook
com.bitbns;Appsflyer
com.bitbns;Adobe
com.bitbns;Google Ads
com.bitbns;Squareup
com.bitcoinglobal;Github
com.bitcoinglobal;Facebook
com.bitcoinglobal;Bumptech
com.bitcoinglobal;Google Ads
com.bitcoininc.bitcoinpay;Squareup
com.bitcoininc.bitcoinpay;Google Ads
com.bitcoininc.bitcoinpay;Google Analytics
com.bitcoininc.bitcoinpay;HOCKETAPP
com.bitexuae;Facebook
com.bitexuae;Adobe
com.bitexuae;Google Ads
com.bitkub;Jakewharton
com.bitkub;Github
com.bitkub;Facebook
com.bitkub;Appsflyer
com.bitkub;Adobe
com.bitkub;Google Ads
com.bitkub;Squareup
com.bitmart.bitmarket;Weibo
com.bitmart.bitmarket;Facebook
com.bitmart.bitmarket;Squareup
com.bitmart.bitmarket;Twitter
com.bitmart.bitmarket;Tencent
com.bitmart.bitmarket;Bumptech
com.bitpay.wallet;Google Ads
com.bitpay.wallet;Google Analytics
com.bitso.wallet;Urbanairship
com.bitso.wallet;Urban Ariship
com.bitso.wallet;Facebook
com.bitso.wallet;Appsflyer
com.bitso.wallet;Apptimize
com.bitso.wallet;Google Ads
com.bitvirya.app;Github
com.bitvirya.app;Intuit
com.bitvirya.app;Push
com.bitvirya.app;Bumptech
com.bityard.us2;adjust
com.bityard.us2;Google Ads
com.blockcloud;Facebook
com.blockcloud;Adobe
com.blockfi.mobile;Fasterxml
com.blockfi.mobile;Facebook
com.blockfi.mobile;Squareup
com.blockfolio.blockfolio;Jakewharton
com.blockfolio.blockfolio;Squareup
com.blockfolio.blockfolio;Github
com.blockfolio.blockfolio;Facebook
com.blockfolio.blockfolio;Appsflyer
com.blockfolio.blockfolio;Adobe
com.blockfolio.blockfolio;Bumptech
com.blockfolio.blockfolio;Google Ads
com.bokucoin.app;Github
com.bokucoin.app;Push
com.bokucoin.app;Bumptech
com.btcontract.wallettest;Github
com.btcturk.pro;Squareup
com.btcturk.pro;adjust
com.btcturk.pro;Github
com.btcturk.pro;Facebook
com.btcturk.pro;Google Ads
com.btuprotocol.btu_wallet;adjust
com.btuprotocol.btu_wallet;Facebook
com.btuprotocol.btu_wallet;Google Ads
com.btuprotocol.btu_wallet;Google Analytics
com.buda.crypto;Fasterxml
com.buda.crypto;Github
com.buda.crypto;Crashlytics
com.buda.crypto;Phonegap
com.buda.crypto;Google Ads
com.buda.crypto;Google Analytics
com.burency.app;Jakewharton
com.burency.app;Nostra13
com.burency.app;Squareup
com.burency.app;Umeng
com.burency.app;Tencent
com.burency.app;Github
com.burency.app;Crashlytics
com.burency.app;Bumptech
com.caramba.StellarWallet;Push
com.caramba.StellarWallet;Phonegap
com.caramba.StellarWallet;Google Ads
com.cobinhood.exchange;Github
com.cobinhood.exchange;Crashlytics
com.cobinhood.exchange;Jakewharton
com.cobinhood.exchange;Facebook
com.cobinhood.exchange;Squareup
com.cobinhood.exchange;Appsflyer
com.cobinhood.exchange;Bumptech
com.cobinhood.exchange;Google Ads
com.cobinhood.exchange;Google Analytics
com.coinburp.mobile;Mixpanel
com.coinburp.mobile;Github
com.coinburp.mobile;Facebook
com.coinburp.mobile;Appsflyer
com.coinburp.mobile;Adobe
com.coinburp.mobile;Google Ads
com.coindcx;adjust
com.coindcx;Google Ads
com.coindcx.btc;adjust
com.coindcx.btc;Google Ads
com.coindcx.btc;Google Analytics
com.coindeal;Github
com.coindeal;Facebook
com.coindeal;Bumptech
com.coindeal;Google Ads
com.coinmarket.android;Github
com.coinmarket.android;Facebook
com.coinmarket.android;Twitter
com.coinmarket.android;Google Ads
com.coinmarket.android;Appsflyer
com.coinmarket.android;Bumptech
com.coinmarket.android;Nostra13
com.coinmarket.android;Squareup
com.coinmarket.android;Loopj
com.coinmotion;Facebook
com.coinmotion;Google Ads
com.coinpaprika.coins;Jakewharton
com.coinpaprika.coins;Squareup
com.coinpaprika.coins;Appsflyer
com.coinpaprika.coins;Bumptech
com.coinpay;Squareup
com.coinpoket;Github
com.coinpoket;Bumptech
com.CoinsBank.CoinsBank;Github
com.CoinsBank.CoinsBank;Bumptech
com.colodax.colodax;Github
com.colodax.colodax;Google Ads
com.coolbitx.cwsapp;Fasterxml
com.coolbitx.cwsapp;Flurry
com.coolbitx.cwsapp;Google Ads
com.coolbitx.cwsapp;Facebook
com.coolbitx.cwsapp;Adobe
com.coolbitx.cwsapp;Bumptech
com.coolbitx.cwsapp;Squareup
com.coolbitx.cwsapp;Push
com.crypter.cryptocyrrency;Unity3d
com.crypter.cryptocyrrency;AdColony (Jirbo)
com.crypter.cryptocyrrency;Twitter
com.crypter.cryptocyrrency;Unity Ads
com.crypter.cryptocyrrency;Github
com.crypter.cryptocyrrency;Facebook
com.crypter.cryptocyrrency;Bumptech
com.crypter.cryptocyrrency;Google Ads
com.cryptocurrency.jtechtrade;Facebook
com.cryptocurrency.jtechtrade;Bumptech
com.cryptocurrency.jtechtrade;Google Ads
com.cryptocurrency.jtechtrade;Google Analytics
com.cryptooriented.exchanges;Facebook
com.cryptooriented.exchanges;Google Ads
com.currency.exchange.prod2;Appsflyer
com.currency.exchange.prod2;Google Ads
com.czprime;Googlecode
com.digifinex.app;Github
com.digifinex.app;Jakewharton
com.digifinex.app;Squareup
com.digifinex.app;Tencent
com.digifinex.app;Google Ads
com.digifinex.app;Bumptech
com.dmaxwallet;Facebook
com.dmaxwallet;Adobe
com.dsdaq.mobiletrader;Github
com.dsdaq.mobiletrader;Squareup
com.dsdaq.mobiletrader;Bumptech
com.dsdaq.mobiletrader;Google Ads
com.emberfund.ember;Mixpanel
com.emberfund.ember;Crashlytics
com.emberfund.ember;Facebook
com.emberfund.ember;Appsflyer
com.emberfund.ember;Bumptech
com.emberfund.ember;Google Ads
com.escrowspace;Fasterxml
com.escrowspace;Github
com.escrowspace;Crashlytics
com.escrowspace;Squareup
com.escrowspace;Google Ads
com.evercoin;Bumptech
com.evercoin;Fasterxml
com.evercoin;Github
com.evercoin;Crashlytics
com.evercoin;Googlecode
com.evercoin;Squareup
com.evercoin;Google Ads
com.evraon.trading;Github
com.exmo;Appsflyer
com.exmo;Bumptech
com.exmo;Google Ads
com.exmo;Squareup
com.exmo;Push
com.exmo;New Relic
com.exmo;Fasterxml
com.exmo;Facebook
com.farhadmarket.app;Github
com.farhadmarket.app;Bumptech
com.farhadmarket.app;Google Ads
com.flashift.flashift;Jakewharton
com.flashift.flashift;Nostra13
com.flashift.flashift;Squareup
com.flashift.flashift;Google Ads
com.fluidcoins.fluidcoins;Facebook
com.fluidcoins.fluidcoins;Adobe
com.fluidcoins.fluidcoins;Google Ads
com.flutter.litebit;Jakewharton
com.flutter.litebit;Squareup
com.flutter.litebit;Push
com.flutter.litebit;Google Ads
