----Unknown Level Permission--------
com.google.android.finsky.permission.BIND\_GET\_INSTALL\_REFERRER\_SERVICE & 290 (63.5\%)\\ 
com.google.android.gms.auth.api.signin.permission.REVOCATION\_NOTIFICATION & 113 (24.7\%)\\ 
com.huawei.android.launcher.permission.CHANGE\_BADGE & 102 (22.3\%)\\ 
com.anddoes.launcher.permission.UPDATE\_COUNT & 101 (22.1\%)\\ 
com.sonyericsson.home.permission.BROADCAST\_BADGE & 101 (22.1\%)\\ 
com.sec.android.provider.badge.permission.WRITE & 101 (22.1\%)\\ 
com.sec.android.provider.badge.permission.READ & 101 (22.1\%)\\ 
com.majeur.launcher.permission.UPDATE\_BADGE & 101 (22.1\%)\\ 
com.htc.launcher.permission.READ\_SETTINGS & 101 (22.1\%)\\ 
com.htc.launcher.permission.UPDATE\_SHORTCUT & 101 (22.1\%)\\ 
com.huawei.android.launcher.permission.READ\_SETTINGS & 96 (21.0\%)\\ 
com.huawei.android.launcher.permission.WRITE\_SETTINGS & 96 (21.0\%)\\ 
com.sonymobile.home.permission.PROVIDER\_INSERT\_BADGE & 96 (21.0\%)\\ 
android.permission.READ\_APP\_BADGE & 92 (20.1\%)\\ 
com.oppo.launcher.permission.READ\_SETTINGS & 91 (19.9\%)\\ 
com.oppo.launcher.permission.WRITE\_SETTINGS & 91 (19.9\%)\\ 
me.everything.badger.permission.BADGE\_COUNT\_READ & 90 (19.7\%)\\ 
me.everything.badger.permission.BADGE\_COUNT\_WRITE & 90 (19.7\%)\\ 
android.permission.FLASHLIGHT & 71 (15.5\%)\\ 
com.google.firebase.auth.api.gms.permission.LAUNCH\_FEDERATED\_SIGN\_IN & 51 (11.2\%)\\ 
com.google.android.providers.gsf.permission.READ\_GSERVICES & 50 (10.9\%)\\ 
com.samsung.android.providers.context.permission.WRITE\_USE\_APP\_FEATURE\_SURVEY & 31 (6.8\%)\\ 
com.fingerprints.service.ACCESS\_FINGERPRINT\_MANAGER & 23 (5.0\%)\\ 
com.android.vending.BILLING & 22 (4.8\%)\\ 
android.permission.RECEIVE\_USER\_PRESENT & 21 (4.6\%)\\ 
com.android.vending.CHECK\_LICENSE & 21 (4.6\%)\\ 
android.permission.USE\_CREDENTIALS & 20 (4.4\%)\\ 
com.google.android.gms.permission.BIND\_NETWORK\_TASK\_SERVICE & 14 (3.1\%)\\ 
android.permission.STORAGE & 13 (2.8\%)\\ 
android.permission.READ\_PROFILE & 11 (2.4\%)\\ 
android.permission.MANAGE\_ACCOUNTS & 10 (2.2\%)\\ 
host.exp.exponent.permission.C2D\_MESSAGE & 9 (2.0\%)\\ 
android.permission.WRITE\_INTERNAL\_STORAGE & 9 (2.0\%)\\ 
android.permission.DOWNLOAD\_WITHOUT\_NOTIFICATION & 8 (1.8\%)\\ 
android.permission.AUTHENTICATE\_ACCOUNTS & 6 (1.3\%)\\ 
com.huawei.appmarket.service.commondata.permission.GET\_COMMON\_DATA & 5 (1.1\%)\\ 
android.permission.SYSTEM\_OVERLAY\_WINDOW & 5 (1.1\%)\\ 
android.permission.RECORD\_VIDEO & 5 (1.1\%)\\ 
com.amazon.device.messaging.permission.RECEIVE & 5 (1.1\%)\\ 
android.permission.READ\_SETTINGS & 5 (1.1\%)\\ 
com.amazon.device.messaging.permission.SEND & 5 (1.1\%)\\ 
com.coloros.mcs.permission.RECIEVE\_MCS\_MESSAGE & 5 (1.1\%)\\ 
android.permission.ACCESS\_DOWNLOAD\_MANAGER & 4 (0.9\%)\\ 
android.permission.BROADCAST\_PACKAGE\_ADDED & 3 (0.7\%)\\ 
android.permission.BROADCAST\_PACKAGE\_REPLACED & 3 (0.7\%)\\ 
com.heytap.mcs.permission.RECIEVE\_MCS\_MESSAGE & 3 (0.7\%)\\ 
android.permission.BROADCAST\_PACKAGE\_CHANGED & 3 (0.7\%)\\ 
com.meizu.c2dm.permission.RECEIVE & 3 (0.7\%)\\ 
android.permission.READ\_PRIVILEGED\_PHONE\_STATE & 3 (0.7\%)\\ 
com.meizu.flyme.push.permission.RECEIVE & 3 (0.7\%)\\ 
android.permission.BROADCAST\_PACKAGE\_INSTALL & 3 (0.7\%)\\ 
android.hardware.camera.autofocus & 3 (0.7\%)\\ 
com.android.browser.permission.READ\_HISTORY\_BOOKMARKS & 2 (0.4\%)\\ 
com.android.launcher.permission.READ\_SETTINGS & 2 (0.4\%)\\ 
android.permission.ACCESS\_GPS & 2 (0.4\%)\\ 
android.permission.ACCESS\_MOCK\_LOCATION & 2 (0.4\%)\\ 
android.permission.GET\_TOP\_ACTIVITY\_INFO & 2 (0.4\%)\\ 
MediaStore.Images.Media.INTERNAL\_CONTENT\_URI & 2 (0.4\%)\\ 
com.coloros.mcs.permission.SEND\_MCS\_MESSAGE & 2 (0.4\%)\\ 
com.heytap.mcs.permission.SEND\_PUSH\_MESSAGE & 2 (0.4\%)\\ 
android.hardware.camera & 2 (0.4\%)\\ 
MediaStore.Images.Media.EXTERNAL\_CONTENT\_URI & 2 (0.4\%)\\ 
android.permission.READ\_MEDIA\_VIDEO & 2 (0.4\%)\\ 
android.permission.READ\_MEDIA\_IMAGES & 2 (0.4\%)\\ 
android.permission.READ\_MEDIA\_AUDIO & 2 (0.4\%)\\ 
android.permission.DEVICE\_POWER & 2 (0.4\%)\\ 
android.permission.FLAG\_GRANT\_READ\_URI\_PERMISSION & 2 (0.4\%)\\ 
android.permission.INTERACT\_ACROSS\_USERS\_FULL & 2 (0.4\%)\\ 
org.deuscoin.wallet.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
com.okinc.okex.gp.permission.MIPUSH\_RECEIVE & 1 (0.2\%)\\ 
com.newgo.coincola.permission.MIPUSH\_RECEIVE & 1 (0.2\%)\\ 
com.nobillio.coinbaazar.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
com.nova.dax.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
com.okinc.okex.gp.permission.JPUSH\_MESSAGE & 1 (0.2\%)\\ 
tech.central.ctocoin.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
com.panaeshacapital.pcex.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
com.phemex.app.permission.JPUSH\_MESSAGE & 1 (0.2\%)\\ 
com.phemex.app.permission.MIPUSH\_RECEIVE & 1 (0.2\%)\\ 
com.neobitcoin.wallet.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
tw.org.freewallet.app.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
com.mtpelerin.bridge.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
com.mexcpro.client.permission.JPUSH\_MESSAGE & 1 (0.2\%)\\ 
com.kubi.kucoin.permission.PUSH\_PROVIDER & 1 (0.2\%)\\ 
com.legendwd.hyperpayW.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
vip.mytokenpocket.permission.RECEIVE\_MSG & 1 (0.2\%)\\ 
vip.mytokenpocket.permission.JPUSH\_MESSAGE & 1 (0.2\%)\\ 
com.legendwd.hyperpayW.permission.JPUSH\_MESSAGE & 1 (0.2\%)\\ 
com.legendwd.hyperpayW.permission.RECEIVE\_ADM\_MESSAGE & 1 (0.2\%)\\ 
com.lynengine.beautycryptowallet.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
com.magnum.wallet.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
tw.org.freewallet.app.permission.PushHandlerActivity & 1 (0.2\%)\\ 
com.phemex.app.permission.PUSH\_PROVIDER & 1 (0.2\%)\\ 
com.maicoin.max.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
tech.vontech.blockchain.jetoken.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
com.matrixport.mark.permission.JPUSH\_MESSAGE & 1 (0.2\%)\\ 
com.medishares.android.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
com.mexcpro.client.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
com.phemex.app.permission.PROCESS\_PUSH\_MSG & 1 (0.2\%)\\ 
com.sculptech.dtrax.permission.RECEIVE\_ADM\_MESSAGE & 1 (0.2\%)\\ 
com.plutus.wallet.permission.MAPS\_RECEIVE & 1 (0.2\%)\\ 
com.wallet.crypto.trustapp.permission.PUSH\_PROVIDER & 1 (0.2\%)\\ 
com.xufagroup.cryptowallet.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
crypto.cc.atc.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
exchange.einstein.mobile.release.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
getui.permission.GetuiService.com.bitmart.bitmarket & 1 (0.2\%)\\ 
global.bithumb.android.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
hodl.group.xrpio.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
im.token.app.permission.JPUSH\_MESSAGE & 1 (0.2\%)\\ 
im.token.app99.permission.JPUSH\_MESSAGE & 1 (0.2\%)\\ 
io.crypto.wallet.bitcoin.ethereum.medooza.wallet.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
io.eidoo.wallet.prodnet.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
io.eidoo.wallet.prodnet.permission.RECEIVE\_ADM\_MESSAGE & 1 (0.2\%)\\ 
io.exaking.starter.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
io.hexawallet.hexa.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
io.ionic.starter.permission.RECEIVE\_ADM\_MESSAGE & 1 (0.2\%)\\ 
io.rscoins.network.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
io.uun.clet.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
io.wallet.permission.JPUSH\_MESSAGE & 1 (0.2\%)\\ 
me.coinpal.app.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
network.celsius.wallet.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
com.wrx.wazirx.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
com.wallet.crypto.trustapp.permission.PROCESS\_PUSH\_MSG & 1 (0.2\%)\\ 
com.portto.blocto.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
com.viabtc.pool.permission.JPUSH\_MESSAGE & 1 (0.2\%)\\ 
com.procps.proopvi.permission.JPUSH\_MESSAGE & 1 (0.2\%)\\ 
com.ptpwallet.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
com.quarkonium.qpocket.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
com.quarkonium.qpocket.permission.MIPUSH\_RECEIVE & 1 (0.2\%)\\ 
com.quarkonium.qpocket.push.permission.MESSAGE & 1 (0.2\%)\\ 
com.quidax.app.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
com.rider.aracanemap.googlemapsv2.permission.MAPS\_RECEIVE & 1 (0.2\%)\\ 
com.samsung.android.bio.face.permission.USE\_FACE & 1 (0.2\%)\\ 
com.samsung.android.teelicense & 1 (0.2\%)\\ 
com.savl.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
com.sculptech.dtrax.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
com.shapeshift.droid\_shapeshift.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
