app_id,TargetedAds,MobileAnalytics,AnyTrackingLibrary,Analytics
com.lingxi.bexplus,3,0,3,0
com.lkrcoin.wallet,0,0,0,0
com.loafwallet,1,0,1,0
com.lobstr.client,1,0,1,0
com.lumicollect.android,2,0,2,0
com.lumiwallet.android,0,0,0,0
com.luneswallet,0,0,0,0
com.lynengine.beautycryptowallet,1,0,1,0
com.magnum.wallet,1,0,1,0
com.maicoin.max,1,1,2,0
com.masterbitexpress.wallet,0,0,0,0
com.matrixport.mark,1,2,3,0
com.maxxwallet,1,0,1,0
com.medishares.android,2,0,2,0
com.mercuryo.app,3,0,3,0
com.midasprotocol.wallet.android,1,0,1,0
com.monederoapp,0,0,0,0
com.monnos.android,1,0,1,0
com.mtpelerin.bridge,1,0,1,0
com.mycelium.wallet,1,0,1,0
com.mycontainer,1,0,1,0
com.nakitcoins.wallet,0,0,0,0
com.neobitcoin.wallet,1,1,2,0
com.net_cents.netcents2,0,0,0,0
com.newgo.coincola,1,0,1,0
com.nexowallet,1,0,1,0
com.ninjacoin,0,0,0,0
com.nobillio.coinbaazar,1,0,1,0
com.node.coindirect,1,0,1,0
com.nova.dax,2,0,2,0
com.okinc.okex.gp,2,1,3,0
com.oracle.wallet,1,0,1,0
com.ownrwallet.wallet,2,0,3,1
com.panaeshacapital.pcex,1,1,2,0
com.paxful.wallet,2,0,2,0
com.payperless.wallet,1,0,1,0
com.payplux,1,0,1,0
com.payscript,0,0,0,0
com.paytomat,2,0,2,0
com.phemex.app,2,0,2,0
com.pint.app,1,0,1,0
com.plasmapay.androidapp,1,0,1,0
com.plunien.poloniex,1,0,1,0
com.plutus.wallet,2,0,2,0
com.pointpay.bank,1,0,1,0
com.polehin.android,0,0,0,0
com.polispay.copay,1,0,1,0
com.portto.blocto,1,0,1,0
com.prizmbit,1,1,2,0
com.profittrading.forcoinbase,1,0,1,0
com.ptpwallet,0,0,0,0
com.pumapay.pumawallet,2,0,2,0
com.qcan.mobile.bitcoin.wallet,1,0,1,0
com.qsoft.mybtc,1,0,1,0
com.quarkonium.qpocket,2,1,3,0
com.qubris.freecryptofaucet,1,0,1,0
com.quidax.app,1,1,2,0
com.quppy,1,1,2,0
com.remint.app,1,0,1,0
com.remitano.remitano,1,0,1,0
com.ripio.android,1,0,1,0
com.saltlending.mobile,1,0,1,0
com.savl,2,0,2,0
com.sculptech.dtrax,1,0,1,0
com.sencoinex.android,1,0,1,0
com.shapeshift.droid_shapeshift,1,0,1,0
com.signkeys.wallet.portfolio,1,0,1,0
com.silenca.amlsafe,1,0,1,0
com.silvercoinvaluerpro,1,0,1,0
com.simple.crypto.wallet,1,0,1,0
com.sixpencer.simplework,1,1,2,0
com.sixwallet,1,0,1,0
com.skycoin.wallet,0,0,0,0
com.sparkpoint,0,0,0,0
com.spot.spot,1,1,2,0
com.stasis.stasiswallet,1,1,2,0
com.stocksexchange.android,0,0,0,0
com.studentcoin,1,0,1,0
com.supremexchange,0,0,0,0
com.t7.wether,1,0,1,0
com.theblockchain.coinus.wallet,1,0,1,0
com.thinkdevs.cryptomarket,1,0,1,0
com.trusteewallet,1,0,1,0
com.valr.app,0,0,0,0
com.viabtc.pool,1,1,2,0
com.wallet.crypto.trustapp,1,0,1,0
com.wallet.ela,1,0,1,0
com.whitebit.android,0,0,0,0
com.wirex,3,0,3,0
com.wrx.wazirx,2,1,3,0
com.wswap.wallet,1,1,2,0
com.xbond.exchange,1,0,1,0
com.xcoex.mobile,1,2,3,0
com.xufagroup.cryptowallet,1,0,1,0
com.yamishibai.easycryptowallet123,1,0,1,0
com.youhodler.youhodler,1,3,4,0
com.zenafinance,0,0,0,0
com.zengo.wallet,1,2,3,0
com.zipwallet.app,1,1,2,0
com.zixipay.wallet,0,0,0,0
crypto.cc.atc,1,1,2,0
crypto.stars.wallet,0,0,0,0
de.fuf.bitbucks,0,0,0,0
de.langerhans.wallet,0,0,0,0
de.schildbach.wallet,0,0,0,0
de.schildbach.wallet.goldcoin,0,0,0,0
doge.org.freewallet.app,2,1,3,0
eos.org.freewallet.app,2,1,3,0
eth.org.freewallet.app,2,1,3,0
etherio.wallet.com,1,1,2,0
everex.transfer,1,1,2,0
exchange.einstein.mobile.release,1,0,1,0
fio.ecoin.wallet,0,0,0,0
fr.acinq.phoenix.mainnet,0,0,0,0
gbbit.app.wallet,0,0,0,0
global.bithumb.android,1,1,2,0
hodl.group.xrpio,1,0,1,0
i.brains.pandax,2,0,2,0
im.status.ethereum,0,0,0,0
im.token.app99,1,0,1,0
info.mysecurewallet.wallet,0,0,0,0
io.atomicwallet,0,0,0,0
io.bincap.exchange,1,1,2,0
io.bluewallet.bluewallet,0,0,0,0
io.bolt.mibwallet,1,0,1,0
io.cex.app.prod,1,2,3,0
io.crypto.wallet.bitcoin.ethereum.medooza.wallet,1,1,2,0
io.deviantcoin.android,0,0,0,0
io.eidoo.wallet.prodnet,1,1,2,0
io.eosnova.wallet.android,1,1,2,0
io.exaking.starter,1,0,1,0
io.goldwallet.wallet,1,0,1,0
io.hexawallet.hexa,1,0,1,0
io.infinito.wallet,2,1,3,0
io.kompasswallet,1,0,1,0
io.kriptomat.app,1,1,2,0
io.melis.clientwallet,0,0,0,0
io.metamask,0,1,1,0
io.muun.apollo,0,0,0,0
io.nash.app,1,2,3,0
io.rapids.network.wallet,1,0,1,0
io.rscoins.network,1,1,2,0
io.safepal.wallet,0,0,0,0
io.totalcoin.wallet,2,0,2,0
io.uun.clet,1,1,2,0
io.wallet,1,1,2,0
it.inbitcoin.altana,0,0,0,0
jp.co.smartapp.gowallet,5,0,5,0
