,Unnamed: 0,app_id,permission,level
178,178,com.app.asbazar59,com.sec.android.provider.badge.permission.READ,customized
179,179,com.app.asbazar59,com.sec.android.provider.badge.permission.WRITE,customized
182,182,com.app.asbazar59,com.sonyericsson.home.permission.BROADCAST_BADGE,customized
183,183,com.app.asbazar59,com.sonymobile.home.permission.PROVIDER_INSERT_BADGE,customized
185,185,com.app.asbazar59,com.majeur.launcher.permission.UPDATE_BADGE,customized
186,186,com.app.asbazar59,com.huawei.android.launcher.permission.CHANGE_BADGE,customized
189,189,com.app.asbazar59,android.permission.READ_APP_BADGE,customized
192,192,com.app.asbazar59,me.everything.badger.permission.BADGE_COUNT_READ,customized
193,193,com.app.asbazar59,me.everything.badger.permission.BADGE_COUNT_WRITE,customized
290,290,com.bitbns,com.sec.android.provider.badge.permission.READ,customized
291,291,com.bitbns,com.sec.android.provider.badge.permission.WRITE,customized
294,294,com.bitbns,com.sonyericsson.home.permission.BROADCAST_BADGE,customized
295,295,com.bitbns,com.sonymobile.home.permission.PROVIDER_INSERT_BADGE,customized
297,297,com.bitbns,com.majeur.launcher.permission.UPDATE_BADGE,customized
298,298,com.bitbns,com.huawei.android.launcher.permission.CHANGE_BADGE,customized
301,301,com.bitbns,android.permission.READ_APP_BADGE,customized
304,304,com.bitbns,me.everything.badger.permission.BADGE_COUNT_READ,customized
305,305,com.bitbns,me.everything.badger.permission.BADGE_COUNT_WRITE,customized
362,362,com.bitkub,com.sec.android.provider.badge.permission.READ,customized
363,363,com.bitkub,com.sec.android.provider.badge.permission.WRITE,customized
366,366,com.bitkub,com.sonyericsson.home.permission.BROADCAST_BADGE,customized
367,367,com.bitkub,com.sonymobile.home.permission.PROVIDER_INSERT_BADGE,customized
369,369,com.bitkub,com.majeur.launcher.permission.UPDATE_BADGE,customized
370,370,com.bitkub,com.huawei.android.launcher.permission.CHANGE_BADGE,customized
373,373,com.bitkub,android.permission.READ_APP_BADGE,customized
376,376,com.bitkub,me.everything.badger.permission.BADGE_COUNT_READ,customized
377,377,com.bitkub,me.everything.badger.permission.BADGE_COUNT_WRITE,customized
489,489,com.blockfolio.blockfolio,com.sec.android.provider.badge.permission.READ,customized
490,490,com.blockfolio.blockfolio,com.sec.android.provider.badge.permission.WRITE,customized
493,493,com.blockfolio.blockfolio,com.sonyericsson.home.permission.BROADCAST_BADGE,customized
494,494,com.blockfolio.blockfolio,com.sonymobile.home.permission.PROVIDER_INSERT_BADGE,customized
496,496,com.blockfolio.blockfolio,com.majeur.launcher.permission.UPDATE_BADGE,customized
497,497,com.blockfolio.blockfolio,com.huawei.android.launcher.permission.CHANGE_BADGE,customized
500,500,com.blockfolio.blockfolio,android.permission.READ_APP_BADGE,customized
503,503,com.blockfolio.blockfolio,me.everything.badger.permission.BADGE_COUNT_READ,customized
504,504,com.blockfolio.blockfolio,me.everything.badger.permission.BADGE_COUNT_WRITE,customized
557,557,com.btuprotocol.btu_wallet,com.sec.android.provider.badge.permission.READ,customized
558,558,com.btuprotocol.btu_wallet,com.sec.android.provider.badge.permission.WRITE,customized
561,561,com.btuprotocol.btu_wallet,com.sonyericsson.home.permission.BROADCAST_BADGE,customized
562,562,com.btuprotocol.btu_wallet,com.sonymobile.home.permission.PROVIDER_INSERT_BADGE,customized
564,564,com.btuprotocol.btu_wallet,com.majeur.launcher.permission.UPDATE_BADGE,customized
565,565,com.btuprotocol.btu_wallet,com.huawei.android.launcher.permission.CHANGE_BADGE,customized
568,568,com.btuprotocol.btu_wallet,android.permission.READ_APP_BADGE,customized
571,571,com.btuprotocol.btu_wallet,me.everything.badger.permission.BADGE_COUNT_READ,customized
572,572,com.btuprotocol.btu_wallet,me.everything.badger.permission.BADGE_COUNT_WRITE,customized
584,584,com.buda.crypto,com.sec.android.provider.badge.permission.READ,customized
585,585,com.buda.crypto,com.sec.android.provider.badge.permission.WRITE,customized
588,588,com.buda.crypto,com.sonyericsson.home.permission.BROADCAST_BADGE,customized
590,590,com.buda.crypto,com.majeur.launcher.permission.UPDATE_BADGE,customized
656,656,com.cobinhood.exchange,com.sec.android.provider.badge.permission.READ,customized
657,657,com.cobinhood.exchange,com.sec.android.provider.badge.permission.WRITE,customized
660,660,com.cobinhood.exchange,com.sonyericsson.home.permission.BROADCAST_BADGE,customized
661,661,com.cobinhood.exchange,com.sonymobile.home.permission.PROVIDER_INSERT_BADGE,customized
663,663,com.cobinhood.exchange,com.majeur.launcher.permission.UPDATE_BADGE,customized
664,664,com.cobinhood.exchange,com.huawei.android.launcher.permission.CHANGE_BADGE,customized
667,667,com.cobinhood.exchange,android.permission.READ_APP_BADGE,customized
670,670,com.cobinhood.exchange,me.everything.badger.permission.BADGE_COUNT_READ,customized
671,671,com.cobinhood.exchange,me.everything.badger.permission.BADGE_COUNT_WRITE,customized
925,925,com.cryptocurrency.jtechtrade,com.sec.android.provider.badge.permission.READ,customized
926,926,com.cryptocurrency.jtechtrade,com.sec.android.provider.badge.permission.WRITE,customized
929,929,com.cryptocurrency.jtechtrade,com.sonyericsson.home.permission.BROADCAST_BADGE,customized
930,930,com.cryptocurrency.jtechtrade,com.sonymobile.home.permission.PROVIDER_INSERT_BADGE,customized
932,932,com.cryptocurrency.jtechtrade,com.majeur.launcher.permission.UPDATE_BADGE,customized
933,933,com.cryptocurrency.jtechtrade,com.huawei.android.launcher.permission.CHANGE_BADGE,customized
936,936,com.cryptocurrency.jtechtrade,android.permission.READ_APP_BADGE,customized
939,939,com.cryptocurrency.jtechtrade,me.everything.badger.permission.BADGE_COUNT_READ,customized
940,940,com.cryptocurrency.jtechtrade,me.everything.badger.permission.BADGE_COUNT_WRITE,customized
956,956,com.cryptooriented.exchanges,com.sec.android.provider.badge.permission.READ,customized
957,957,com.cryptooriented.exchanges,com.sec.android.provider.badge.permission.WRITE,customized
960,960,com.cryptooriented.exchanges,com.sonyericsson.home.permission.BROADCAST_BADGE,customized
961,961,com.cryptooriented.exchanges,com.sonymobile.home.permission.PROVIDER_INSERT_BADGE,customized
963,963,com.cryptooriented.exchanges,com.majeur.launcher.permission.UPDATE_BADGE,customized
964,964,com.cryptooriented.exchanges,com.huawei.android.launcher.permission.CHANGE_BADGE,customized
967,967,com.cryptooriented.exchanges,android.permission.READ_APP_BADGE,customized
970,970,com.cryptooriented.exchanges,me.everything.badger.permission.BADGE_COUNT_READ,customized
971,971,com.cryptooriented.exchanges,me.everything.badger.permission.BADGE_COUNT_WRITE,customized
1035,1035,com.digifinex.app,com.sec.android.provider.badge.permission.READ,customized
1036,1036,com.digifinex.app,com.sec.android.provider.badge.permission.WRITE,customized
1039,1039,com.digifinex.app,com.sonyericsson.home.permission.BROADCAST_BADGE,customized
1040,1040,com.digifinex.app,com.sonymobile.home.permission.PROVIDER_INSERT_BADGE,customized
1042,1042,com.digifinex.app,com.majeur.launcher.permission.UPDATE_BADGE,customized
1043,1043,com.digifinex.app,com.huawei.android.launcher.permission.CHANGE_BADGE,customized
1046,1046,com.digifinex.app,android.permission.READ_APP_BADGE,customized
1049,1049,com.digifinex.app,me.everything.badger.permission.BADGE_COUNT_READ,customized
1050,1050,com.digifinex.app,me.everything.badger.permission.BADGE_COUNT_WRITE,customized
1105,1105,com.emberfund.ember,com.sec.android.provider.badge.permission.READ,customized
1106,1106,com.emberfund.ember,com.sec.android.provider.badge.permission.WRITE,customized
1109,1109,com.emberfund.ember,com.sonyericsson.home.permission.BROADCAST_BADGE,customized
1110,1110,com.emberfund.ember,com.sonymobile.home.permission.PROVIDER_INSERT_BADGE,customized
1112,1112,com.emberfund.ember,com.majeur.launcher.permission.UPDATE_BADGE,customized
1113,1113,com.emberfund.ember,com.huawei.android.launcher.permission.CHANGE_BADGE,customized
1116,1116,com.emberfund.ember,android.permission.READ_APP_BADGE,customized
1119,1119,com.emberfund.ember,me.everything.badger.permission.BADGE_COUNT_READ,customized
1120,1120,com.emberfund.ember,me.everything.badger.permission.BADGE_COUNT_WRITE,customized
1290,1290,com.g3shanappz.claimerbox,com.sec.android.provider.badge.permission.READ,customized
1291,1291,com.g3shanappz.claimerbox,com.sec.android.provider.badge.permission.WRITE,customized
1294,1294,com.g3shanappz.claimerbox,com.sonyericsson.home.permission.BROADCAST_BADGE,customized
1295,1295,com.g3shanappz.claimerbox,com.sonymobile.home.permission.PROVIDER_INSERT_BADGE,customized
1297,1297,com.g3shanappz.claimerbox,com.majeur.launcher.permission.UPDATE_BADGE,customized
1298,1298,com.g3shanappz.claimerbox,com.huawei.android.launcher.permission.CHANGE_BADGE,customized
1301,1301,com.g3shanappz.claimerbox,android.permission.READ_APP_BADGE,customized
1304,1304,com.g3shanappz.claimerbox,me.everything.badger.permission.BADGE_COUNT_READ,customized
1305,1305,com.g3shanappz.claimerbox,me.everything.badger.permission.BADGE_COUNT_WRITE,customized
1331,1331,com.gemini.android.app,com.sec.android.provider.badge.permission.READ,customized
1332,1332,com.gemini.android.app,com.sec.android.provider.badge.permission.WRITE,customized
