app_id,N/A,customized,dangerous,normal,signature
com.buda.crypto,,12.0,3.0,4.0,1.0
com.burency.app,3.0,12.0,6.0,8.0,4.0
com.buyucoinApp.buyucoin,,21.0,2.0,7.0,3.0
com.callsfreecalls.android,,6.0,6.0,9.0,2.0
com.caramba.RippleWallet,,4.0,3.0,5.0,1.0
com.caramba.StellarWallet,,4.0,3.0,7.0,1.0
com.ccwalletapp,,18.0,5.0,5.0,4.0
com.cobinhood.exchange,,18.0,5.0,7.0,3.0
com.coinbase.android,,20.0,5.0,9.0,4.0
com.coinburp.mobile,,4.0,3.0,4.0,1.0
com.coincorner.app.crypt,,3.0,4.0,5.0,
com.coindcx,,4.0,5.0,5.0,1.0
com.coindcx.btc,1.0,3.0,7.0,6.0,1.0
com.coindeal,,3.0,1.0,5.0,1.0
com.coinfalcon.mobile,,18.0,4.0,6.0,5.0
com.coinhako,1.0,4.0,3.0,8.0,2.0
com.coinlist.trade,,3.0,2.0,7.0,1.0
com.coinmarket.android,1.0,5.0,8.0,9.0,2.0
com.coinmotion,,3.0,,5.0,1.0
com.coinomi.wallet,,4.0,3.0,10.0,1.0
com.coinorbis.wallet,,,4.0,3.0,1.0
com.coinpaprika.coins,,3.0,2.0,6.0,1.0
com.coinpay,,3.0,3.0,7.0,1.0
com.coinpoket,,,4.0,5.0,
com.coinspace.app,,1.0,5.0,5.0,
com.coinspot.app,,1.0,3.0,4.0,
com.colodax.colodax,,3.0,4.0,3.0,1.0
com.coolbitx.cwsapp,,5.0,5.0,14.0,1.0
com.counos,,5.0,3.0,7.0,1.0
com.credtech,,,,1.0,
com.cryonik.webview,,,2.0,2.0,
com.crypter.cryptocyrrency,,5.0,6.0,9.0,2.0
com.crypterium,,3.0,6.0,8.0,1.0
com.crypto.multiwallet,1.0,2.0,3.0,5.0,1.0
com.cryptocurrency.exchange.app.online,,,2.0,3.0,
com.cryptocurrency.jtechtrade,1.0,21.0,12.0,11.0,6.0
com.cryptonator.android,,2.0,1.0,5.0,1.0
com.cryptooriented.exchanges,,17.0,1.0,5.0,3.0
com.cryptowallet.deviantx,,5.0,6.0,7.0,1.0
com.cryptowallet.si,,,3.0,7.0,
com.currency.exchange.prod2,,3.0,6.0,6.0,1.0
com.cwallet,,20.0,2.0,7.0,3.0
com.cyberblock.cyberblockmobile,,5.0,4.0,4.0,1.0
com.czprime,,4.0,6.0,9.0,2.0
com.dapppocket,,3.0,5.0,7.0,2.0
com.defi.wallet,,4.0,4.0,7.0,1.0
com.delieverme,,,3.0,3.0,1.0
com.digifinex.app,2.0,20.0,6.0,11.0,5.0
com.dmaxwallet,,,1.0,3.0,
com.doge.dex,,,2.0,5.0,
com.dok.wallet,,4.0,4.0,7.0,1.0
com.dowallet,,19.0,8.0,8.0,3.0
com.drcrypto.wallet,,4.0,4.0,7.0,1.0
com.dsdaq.mobiletrader,,4.0,4.0,5.0,1.0
com.eletac.tronwallet,,6.0,5.0,7.0,1.0
com.ellipal.wallet,2.0,5.0,8.0,9.0,3.0
com.elrond.maiar.wallet,,4.0,4.0,8.0,1.0
com.emberfund.ember,1.0,20.0,9.0,12.0,6.0
com.enjin.mobile.wallet,,8.0,2.0,7.0,1.0
com.eofinance,,13.0,3.0,7.0,3.0
com.erdtoken.android,,,2.0,1.0,
com.escrowspace,,4.0,2.0,3.0,1.0
com.ethlimited,,,4.0,5.0,
com.evercoin,,5.0,4.0,7.0,2.0
com.evraon.trading,,3.0,1.0,6.0,1.0
com.exchangily.wallet,,,3.0,6.0,
com.exmo,,4.0,5.0,9.0,3.0
com.ezdefi,,19.0,4.0,9.0,4.0
com.factwallet.crypto.factwallet,,,,5.0,
com.farhadmarket.app,,3.0,4.0,10.0,1.0
com.fitbobcat.litecoinplus,,,1.0,2.0,
com.flashift.flashift,,3.0,3.0,4.0,1.0
com.flitaa.app,,3.0,3.0,7.0,1.0
com.fluidcoins.fluidcoins,,4.0,1.0,6.0,1.0
com.flutter.litebit,,4.0,4.0,9.0,1.0
com.fluttercoin.androidwallet,,,,1.0,
com.fox.one,1.0,6.0,6.0,11.0,3.0
com.friendst.strangr,,4.0,1.0,6.0,2.0
com.g3shanappz.claimerbox,,20.0,8.0,8.0,3.0
com.gemini.android.app,,20.0,6.0,9.0,6.0
com.getchange.wallet.cordova,1.0,3.0,5.0,8.0,3.0
com.giottus.giottus_mobile,,5.0,4.0,9.0,1.0
com.greenaddress.greenbits_android_wallet,,,3.0,5.0,
com.hagglex.hagglex,,3.0,4.0,6.0,1.0
com.hamrasta.hwallet,,3.0,1.0,3.0,1.0
com.hconline.iso,4.0,7.0,8.0,12.0,1.0
com.holacoins.wallet,,18.0,2.0,5.0,3.0
com.hotbtc.exchange,1.0,15.0,12.0,10.0,5.0
com.iMe.android,1.0,24.0,14.0,17.0,8.0
com.idbtec.otppaycrypto,1.0,4.0,7.0,4.0,1.0
com.incognito.wallet,,18.0,6.0,12.0,3.0
com.inigma.wallet,,,3.0,2.0,1.0
com.instantcoins,,3.0,1.0,4.0,1.0
com.ixx_android,3.0,2.0,7.0,6.0,2.0
com.jex.trade,3.0,3.0,10.0,7.0,2.0
com.kesemwalletapp,,4.0,7.0,7.0,2.0
com.kinesis.kinesisapp,,4.0,5.0,7.0,1.0
com.kipcoinProject.kipcoinwallet,,1.0,3.0,4.0,
com.koinkoin,,4.0,,3.0,1.0
com.koinstrap.koinstrap,,14.0,2.0,7.0,4.0
com.kr.iotrust.dcent.wallet,1.0,4.0,3.0,9.0,2.0
com.krypto,1.0,4.0,6.0,4.0,4.0
com.kubi.kucoin,3.0,25.0,6.0,11.0,8.0
com.latoken.wallet,,5.0,5.0,9.0,1.0
com.leadwallet.io,,1.0,3.0,3.0,1.0
com.legendwd.hyperpayW,3.0,30.0,10.0,14.0,6.0
com.liberty.jaxx,,17.0,3.0,5.0,3.0
com.lightning.walletapp,,,2.0,6.0,
com.lingxi.bexplus,2.0,20.0,4.0,6.0,4.0
com.litecoinplus.androidwallet,,,,1.0,
com.lkrcoin.wallet,,,3.0,7.0,
com.loafwallet,,2.0,5.0,8.0,3.0
com.lobstr.client,,4.0,9.0,9.0,2.0
