app_id,activity,exp_activity,exp_provider,exp_receiver,exp_service,provider,receiver,service,pct_exp_act,pct_exp_serv,pct_exp_rec,pct_exp_prov
com.bitbns,13.0,3.0,,3.0,3.0,9.0,17.0,15.0,0.23,0.2,0.18,
com.bitcoin.mwallet,47.0,,,2.0,3.0,5.0,14.0,14.0,,0.21,0.14,
com.bitcoin.wallet.btc,16.0,,,1.0,2.0,5.0,11.0,14.0,,0.14,0.09,
com.bitcoin.wallet.btc.testnet,22.0,,,2.0,1.0,4.0,11.0,11.0,,0.09,0.18,
com.bitcoin.wallet.cryptopuce,4.0,,,2.0,,2.0,7.0,11.0,,,0.29,
com.bitcoinblack.wallet,4.0,,,1.0,,3.0,1.0,3.0,,,1.0,
com.bitcoinblockchain.suyd,4.0,1.0,,1.0,,1.0,5.0,7.0,0.25,,0.2,
com.bitcoinfast.androidwallet,1.0,,,,,1.0,,,,,,
com.bitcoinglobal,4.0,1.0,,2.0,1.0,5.0,4.0,9.0,0.25,0.11,0.5,
com.bitcoininc.bitcoinpay,2.0,,,,,,,,,,,
com.bitcoinindia.Btciapp,9.0,,,1.0,2.0,4.0,10.0,12.0,,0.17,0.1,
com.bitcoinofamerica.wallet,3.0,,,4.0,1.0,6.0,12.0,8.0,,0.12,0.33,
com.bitcoinscrypt.androidwallet,1.0,,,,,1.0,,,,,,
com.bitexuae,5.0,,,3.0,,2.0,5.0,9.0,,,0.6,
com.bitkub,14.0,,,3.0,,6.0,9.0,19.0,,,0.33,
com.bitlox.mobilewallet,2.0,,,,,2.0,2.0,,,,,
com.bitmart.bitmarket,74.0,1.0,1.0,,1.0,11.0,5.0,10.0,0.01,0.1,,0.09
com.bitnovo.app,67.0,,,2.0,1.0,5.0,10.0,11.0,,0.09,0.2,
com.bitorzo.wallet,5.0,1.0,,1.0,,4.0,1.0,3.0,0.2,,1.0,
com.bitpapa,7.0,,,1.0,1.0,3.0,7.0,15.0,,0.07,0.14,
com.bitpay.coincloud,6.0,3.0,,2.0,2.0,3.0,4.0,8.0,0.5,0.25,0.5,
com.bitpay.wallet,8.0,5.0,,2.0,2.0,3.0,4.0,8.0,0.62,0.25,0.5,
com.bitpie,397.0,,,,,2.0,1.0,3.0,,,,
com.bitrue.currency.exchange,10.0,1.0,,1.0,,6.0,5.0,10.0,0.1,,0.2,
com.bitshield.bitshieldwallet,3.0,,,,,1.0,1.0,,,,,
com.bitso.wallet,49.0,1.0,,2.0,2.0,3.0,7.0,14.0,0.02,0.14,0.29,
com.bitvirya.app,22.0,,,,,2.0,,,,,,
com.bityard.us2,3.0,,,1.0,,,1.0,1.0,,,1.0,
com.bitzapp,5.0,1.0,,2.0,2.0,4.0,4.0,8.0,0.2,0.25,0.5,
com.bitzhash.wallet.bitcoin,11.0,,,,,1.0,,,,,,
com.bixin.bixin_android,290.0,5.0,1.0,2.0,3.0,5.0,10.0,12.0,0.02,0.25,0.2,0.2
com.blockchain.bitcoin.wallet,16.0,,,1.0,2.0,5.0,11.0,14.0,,0.14,0.09,
com.blockchain.wallet.btc,16.0,,,1.0,2.0,6.0,11.0,14.0,,0.14,0.09,
com.blockcloud,3.0,,,,,,,,,,,
com.blockfi.mobile,15.0,1.0,,1.0,1.0,5.0,9.0,7.0,0.07,0.14,0.11,
com.blockfolio.blockfolio,10.0,2.0,,4.0,2.0,11.0,16.0,14.0,0.2,0.14,0.25,
com.blocktrail.mywallet,8.0,3.0,,4.0,2.0,4.0,7.0,11.0,0.38,0.18,0.57,
com.bokucoin.app,18.0,,,,,,,,,,,
com.bolowallet,22.0,,1.0,3.0,,6.0,6.0,8.0,,,0.5,0.17
com.breadwallet,5.0,,,2.0,1.0,5.0,11.0,11.0,,0.09,0.18,
com.btcc.mobiwallet,138.0,3.0,2.0,1.0,2.0,7.0,6.0,10.0,0.02,0.2,0.17,0.29
com.btcontract.wallettest,10.0,,,1.0,1.0,2.0,8.0,5.0,,0.2,0.12,
com.btcturk.pro,49.0,3.0,,2.0,2.0,10.0,19.0,17.0,0.06,0.12,0.11,
com.btuprotocol.btu_wallet,8.0,,,3.0,1.0,3.0,11.0,18.0,,0.06,0.27,
com.buda.crypto,6.0,2.0,,2.0,,5.0,6.0,8.0,0.33,,0.33,
com.burency.app,144.0,3.0,1.0,1.0,1.0,11.0,6.0,12.0,0.02,0.08,0.17,0.09
com.buyucoinApp.buyucoin,7.0,1.0,,2.0,1.0,4.0,8.0,15.0,0.14,0.07,0.25,
com.callsfreecalls.android,32.0,,,3.0,2.0,5.0,18.0,20.0,,0.1,0.17,
com.caramba.RippleWallet,11.0,,1.0,1.0,3.0,7.0,11.0,8.0,,0.38,0.09,0.14
com.caramba.StellarWallet,12.0,1.0,1.0,1.0,3.0,8.0,11.0,8.0,0.08,0.38,0.09,0.12
com.ccwalletapp,3.0,,,3.0,2.0,4.0,4.0,4.0,,0.5,0.75,
com.cobinhood.exchange,54.0,1.0,,3.0,1.0,6.0,11.0,17.0,0.02,0.06,0.27,
com.coinbase.android,17.0,1.0,,3.0,3.0,7.0,14.0,17.0,0.06,0.18,0.21,
com.coinburp.mobile,3.0,1.0,,3.0,,6.0,5.0,7.0,0.33,,0.6,
com.coincorner.app.crypt,5.0,1.0,,1.0,2.0,3.0,4.0,4.0,0.2,0.5,0.25,
com.coindcx,15.0,,,3.0,2.0,6.0,12.0,20.0,,0.1,0.25,
com.coindcx.btc,17.0,,,2.0,1.0,6.0,12.0,22.0,,0.05,0.17,
com.coindeal,14.0,1.0,,1.0,,2.0,3.0,7.0,0.07,,0.33,
com.coinfalcon.mobile,12.0,,,2.0,,8.0,4.0,10.0,,,0.5,
com.coinhako,96.0,1.0,,1.0,2.0,2.0,5.0,10.0,0.01,0.2,0.2,
com.coinlist.trade,4.0,1.0,,2.0,1.0,2.0,11.0,11.0,0.25,0.09,0.18,
com.coinmarket.android,36.0,3.0,1.0,2.0,2.0,14.0,13.0,14.0,0.08,0.14,0.15,0.07
com.coinmotion,7.0,2.0,,1.0,1.0,3.0,3.0,6.0,0.29,0.17,0.33,
com.coinomi.wallet,70.0,2.0,,1.0,1.0,6.0,5.0,13.0,0.03,0.08,0.2,
com.coinorbis.wallet,3.0,,,,,,,,,,,
com.coinpaprika.coins,12.0,,,2.0,,7.0,5.0,8.0,,,0.4,
com.coinpay,5.0,,,1.0,1.0,5.0,10.0,10.0,,0.1,0.1,
com.coinpoket,23.0,,,1.0,,1.0,1.0,2.0,,,1.0,
com.coinspace.app,11.0,2.0,,,1.0,3.0,2.0,1.0,0.18,1.0,,
com.coinspot.app,7.0,2.0,,,1.0,,,1.0,0.29,1.0,,
com.colodax.colodax,3.0,,,1.0,,2.0,3.0,7.0,,,0.33,
com.coolbitx.cwsapp,58.0,2.0,,3.0,2.0,6.0,8.0,12.0,0.03,0.17,0.38,
com.counos,4.0,1.0,,4.0,,3.0,7.0,8.0,0.25,,0.57,
com.credtech,2.0,,,,,,,,,,,
com.cryonik.webview,2.0,,,,,,,,,,,
com.crypter.cryptocyrrency,30.0,2.0,,2.0,2.0,5.0,18.0,15.0,0.07,0.13,0.11,
com.crypterium,19.0,1.0,,2.0,,9.0,6.0,9.0,0.05,,0.33,
com.crypto.multiwallet,7.0,,1.0,,1.0,3.0,2.0,5.0,,0.2,,0.33
com.cryptocurrency.exchange.app.online,1.0,,,,,1.0,,,,,,
com.cryptocurrency.jtechtrade,38.0,7.0,,4.0,2.0,11.0,12.0,21.0,0.18,0.1,0.33,
com.cryptonator.android,8.0,,,1.0,,3.0,3.0,6.0,,,0.33,
com.cryptooriented.exchanges,8.0,,,,,3.0,5.0,7.0,,,,
com.cryptowallet.deviantx,62.0,,,3.0,3.0,3.0,6.0,33.0,,0.09,0.5,
com.cryptowallet.si,23.0,,,,,4.0,,2.0,,,,
com.currency.exchange.prod2,8.0,,,2.0,,4.0,5.0,7.0,,,0.4,
com.cwallet,5.0,1.0,,2.0,1.0,3.0,4.0,12.0,0.2,0.08,0.5,
com.cyberblock.cyberblockmobile,5.0,1.0,,2.0,2.0,1.0,3.0,7.0,0.2,0.29,0.67,
com.czprime,101.0,,,2.0,1.0,4.0,11.0,12.0,,0.08,0.18,
com.dapppocket,3.0,,,2.0,1.0,2.0,3.0,5.0,,0.2,0.67,
com.defi.wallet,9.0,1.0,,2.0,1.0,4.0,12.0,11.0,0.11,0.09,0.17,
com.delieverme,3.0,,,,,1.0,,,,,,
com.digifinex.app,40.0,3.0,,1.0,3.0,8.0,12.0,16.0,0.08,0.19,0.08,
com.dmaxwallet,2.0,,,,,,,,,,,
com.doge.dex,5.0,,,,,1.0,,,,,,
com.dok.wallet,18.0,1.0,,2.0,1.0,5.0,5.0,9.0,0.06,0.11,0.4,
com.dowallet,9.0,3.0,,3.0,,8.0,9.0,11.0,0.33,,0.33,
com.drcrypto.wallet,18.0,1.0,,2.0,1.0,5.0,5.0,9.0,0.06,0.11,0.4,
com.dsdaq.mobiletrader,5.0,,,1.0,,5.0,3.0,7.0,,,0.33,
com.eletac.tronwallet,23.0,2.0,,2.0,2.0,6.0,5.0,12.0,0.09,0.17,0.4,
com.ellipal.wallet,187.0,2.0,1.0,1.0,1.0,4.0,5.0,3.0,0.01,0.33,0.2,0.25
com.elrond.maiar.wallet,51.0,1.0,,3.0,3.0,7.0,15.0,16.0,0.02,0.19,0.2,
com.emberfund.ember,8.0,3.0,,5.0,,3.0,6.0,10.0,0.38,,0.83,
com.enjin.mobile.wallet,5.0,,,2.0,5.0,5.0,4.0,8.0,,0.62,0.5,
com.eofinance,7.0,3.0,,4.0,,5.0,9.0,8.0,0.43,,0.44,
com.erdtoken.android,2.0,,,,,1.0,1.0,,,,,
com.escrowspace,3.0,,,2.0,1.0,3.0,3.0,4.0,,0.25,0.67,
com.ethlimited,4.0,1.0,,,,2.0,,,0.25,,,
com.evercoin,74.0,,,2.0,1.0,4.0,5.0,8.0,,0.12,0.4,
com.evraon.trading,3.0,,1.0,3.0,1.0,2.0,6.0,10.0,,0.1,0.5,0.5
com.exchangily.wallet,6.0,,,,,1.0,1.0,,,,,
com.exmo,19.0,1.0,1.0,2.0,1.0,12.0,17.0,14.0,0.05,0.07,0.12,0.08
com.ezdefi,6.0,,,4.0,2.0,8.0,14.0,15.0,,0.13,0.29,
com.factwallet.crypto.factwallet,14.0,1.0,,,,1.0,,,0.07,,,
com.farhadmarket.app,26.0,1.0,,2.0,2.0,6.0,11.0,25.0,0.04,0.08,0.18,
com.fitbobcat.litecoinplus,2.0,,,,,,,,,,,
com.flashift.flashift,14.0,,,1.0,,1.0,3.0,7.0,,,0.33,
com.flitaa.app,6.0,,,2.0,1.0,3.0,6.0,9.0,,0.11,0.33,
com.fluidcoins.fluidcoins,5.0,1.0,,2.0,1.0,3.0,4.0,9.0,0.2,0.11,0.5,
com.flutter.litebit,13.0,,,2.0,1.0,7.0,7.0,10.0,,0.1,0.29,
com.fluttercoin.androidwallet,1.0,,,,,1.0,,,,,,
com.fox.one,73.0,3.0,1.0,2.0,1.0,5.0,7.0,19.0,0.04,0.05,0.29,0.2
com.friendst.strangr,67.0,1.0,1.0,2.0,4.0,7.0,9.0,24.0,0.01,0.17,0.22,0.14
com.g3shanappz.claimerbox,7.0,2.0,,2.0,2.0,4.0,11.0,10.0,0.29,0.2,0.18,
com.gemini.android.app,21.0,1.0,,3.0,4.0,11.0,17.0,16.0,0.05,0.25,0.18,
com.getchange.wallet.cordova,7.0,,,3.0,3.0,5.0,8.0,12.0,,0.25,0.38,
com.giottus.giottus_mobile,7.0,1.0,,2.0,,5.0,4.0,7.0,0.14,,0.5,
com.greenaddress.greenbits_android_wallet,35.0,,,,,,,1.0,,,,
com.hagglex.hagglex,9.0,,,1.0,,3.0,4.0,7.0,,,0.25,
com.hamrasta.hwallet,2.0,,,2.0,,2.0,3.0,5.0,,,0.67,
com.hconline.iso,221.0,3.0,,3.0,9.0,6.0,8.0,22.0,0.01,0.41,0.38,
com.holacoins.wallet,36.0,,,1.0,1.0,1.0,6.0,11.0,,0.09,0.17,
com.hotbtc.exchange,26.0,6.0,,6.0,1.0,10.0,11.0,20.0,0.23,0.05,0.55,
com.iMe.android,19.0,4.0,1.0,3.0,6.0,5.0,22.0,30.0,0.21,0.2,0.14,0.2
com.idbtec.otppaycrypto,90.0,,,2.0,2.0,4.0,3.0,7.0,,0.29,0.67,
com.incognito.wallet,5.0,2.0,,4.0,,5.0,9.0,8.0,0.4,,0.44,
com.inigma.wallet,3.0,,,,,1.0,,,,,,
com.instantcoins,3.0,,,1.0,,2.0,3.0,7.0,,,0.33,
com.ixx_android,158.0,1.0,,,2.0,4.0,3.0,6.0,0.01,0.33,,
com.jex.trade,93.0,,,,1.0,10.0,,3.0,,0.33,,
com.kesemwalletapp,9.0,,1.0,3.0,2.0,7.0,6.0,10.0,,0.2,0.5,0.14
com.kinesis.kinesisapp,29.0,2.0,,3.0,1.0,4.0,14.0,9.0,0.07,0.11,0.21,
com.kipcoinProject.kipcoinwallet,9.0,,,,,2.0,,1.0,,,,
com.koinkoin,5.0,1.0,,2.0,1.0,3.0,4.0,9.0,0.2,0.11,0.5,
com.koinstrap.koinstrap,27.0,8.0,,5.0,2.0,11.0,13.0,20.0,0.3,0.1,0.38,
com.kr.iotrust.dcent.wallet,7.0,1.0,,1.0,,3.0,3.0,4.0,0.14,,0.33,
com.krypto,5.0,2.0,,3.0,,3.0,4.0,6.0,0.4,,0.75,
com.kubi.kucoin,65.0,2.0,1.0,3.0,2.0,16.0,15.0,23.0,0.03,0.09,0.2,0.06
com.latoken.wallet,90.0,,,3.0,2.0,8.0,6.0,12.0,,0.17,0.5,
com.leadwallet.io,1.0,,,,,2.0,2.0,6.0,,,,
com.legendwd.hyperpayW,603.0,16.0,1.0,1.0,2.0,12.0,12.0,17.0,0.03,0.12,0.08,0.08
com.liberty.jaxx,3.0,,,2.0,,1.0,6.0,9.0,,,0.33,
com.lightning.walletapp,12.0,,,,,1.0,,1.0,,,,
com.lingxi.bexplus,64.0,1.0,,2.0,1.0,6.0,6.0,11.0,0.02,0.09,0.33,
com.litecoinplus.androidwallet,1.0,,,,,1.0,,,,,,
com.lkrcoin.wallet,22.0,,,,,3.0,,2.0,,,,
com.loafwallet,35.0,,,,1.0,3.0,2.0,8.0,,0.12,,
com.lobstr.client,76.0,,,3.0,2.0,9.0,14.0,12.0,,0.17,0.21,
com.lumicollect.android,18.0,,,4.0,,2.0,5.0,5.0,,,0.8,
com.lumiwallet.android,49.0,1.0,,1.0,,1.0,4.0,9.0,0.02,,0.25,
com.luneswallet,2.0,,,,,,,,,,,
com.lynengine.beautycryptowallet,10.0,,,2.0,1.0,2.0,3.0,4.0,,0.25,0.67,
