app_id,activity,exp_activity,exp_provider,exp_receiver,exp_service,provider,receiver,service,pct_exp_act,pct_exp_serv,pct_exp_rec,pct_exp_prov
com.signkeys.wallet.portfolio,8.0,1.0,,2.0,2.0,6.0,7.0,6.0,0.12,0.33,0.29,
com.silenca.amlsafe,12.0,3.0,,3.0,1.0,6.0,6.0,9.0,0.25,0.11,0.5,
com.silvercoinvaluerpro,14.0,,,1.0,2.0,5.0,12.0,8.0,,0.25,0.08,
com.simple.crypto.wallet,4.0,,,,,1.0,,,,,,
com.sixpencer.simplework,64.0,,,,2.0,8.0,3.0,9.0,,0.22,,
com.sixwallet,5.0,,,3.0,1.0,3.0,4.0,6.0,,0.17,0.75,
com.skycoin.wallet,6.0,,,,,1.0,,,,,,
com.skyewallet.skye_wallet,4.0,,,,,3.0,2.0,6.0,,,,
com.sparkpoint,4.0,,,1.0,2.0,4.0,5.0,9.0,,0.22,0.2,
com.spot.spot,67.0,3.0,,3.0,1.0,6.0,13.0,15.0,0.04,0.07,0.23,
com.stasis.stasiswallet,3.0,,,1.0,,4.0,3.0,8.0,,,0.33,
com.stocksexchange.android,20.0,,,2.0,1.0,5.0,9.0,10.0,,0.1,0.22,
com.studentcoin,5.0,1.0,,2.0,1.0,4.0,4.0,9.0,0.2,0.11,0.5,
com.supremexchange,3.0,,,1.0,,3.0,1.0,,,,1.0,
com.t7.wether,4.0,,,2.0,1.0,2.0,4.0,5.0,,0.2,0.5,
com.theblockchain.coinus.wallet,50.0,1.0,,2.0,1.0,2.0,5.0,10.0,0.02,0.1,0.4,
com.thinkdevs.cryptomarket,16.0,1.0,,2.0,3.0,2.0,5.0,8.0,0.06,0.38,0.4,
com.titan.coin,6.0,,,2.0,,5.0,5.0,8.0,,,0.4,
com.top1.group.international.android,87.0,2.0,1.0,3.0,2.0,8.0,16.0,13.0,0.02,0.15,0.19,0.12
com.trusteewallet,9.0,2.0,,4.0,1.0,7.0,6.0,10.0,0.22,0.1,0.67,
com.valr.app,8.0,2.0,,2.0,1.0,6.0,5.0,10.0,0.25,0.1,0.4,
com.viabtc.pool,136.0,,,,,2.0,4.0,2.0,,,,
com.vidulumwallet.app,1.0,,,,,,,,,,,
com.visionwallet.app,1.0,,,,,,,,,,,
com.wallet.crypto.trustapp,36.0,1.0,1.0,1.0,2.0,9.0,6.0,13.0,0.03,0.15,0.17,0.11
com.wallet.ela,15.0,,,,,2.0,,,,,,
com.whitebit.android,57.0,1.0,,2.0,3.0,5.0,13.0,16.0,0.02,0.19,0.15,
com.wirex,130.0,2.0,,1.0,3.0,8.0,9.0,13.0,0.02,0.23,0.11,
com.wrx.wazirx,61.0,,,3.0,3.0,3.0,8.0,12.0,,0.25,0.38,
com.wswap.wallet,49.0,2.0,,1.0,,4.0,4.0,7.0,0.04,,0.25,
com.xbond.exchange,12.0,,,2.0,1.0,5.0,10.0,5.0,,0.2,0.2,
com.xcoex.mobile,16.0,3.0,,2.0,1.0,6.0,7.0,10.0,0.19,0.1,0.29,
com.xufagroup.cryptowallet,6.0,,,3.0,1.0,2.0,5.0,4.0,,0.25,0.6,
com.yamishibai.easycryptowallet123,3.0,,,,,1.0,,,,,,
com.youhodler.youhodler,19.0,1.0,,2.0,2.0,12.0,14.0,16.0,0.05,0.12,0.14,
com.zelcash.zelcore,5.0,2.0,,,,2.0,2.0,,0.4,,,
com.zenafinance,2.0,,,,,1.0,,,,,,
com.zengo.wallet,19.0,1.0,,2.0,2.0,5.0,10.0,15.0,0.05,0.13,0.2,
com.zipwallet.app,117.0,1.0,,2.0,5.0,6.0,14.0,14.0,0.01,0.36,0.14,
com.zixipay.wallet,3.0,,,,,1.0,,,,,,
crypto.cc.atc,15.0,1.0,,1.0,3.0,1.0,5.0,7.0,0.07,0.43,0.2,
crypto.stars.wallet,31.0,,,,,2.0,,2.0,,,,
crypto.wallet.chainapp,2.0,,,,,3.0,2.0,5.0,,,,
de.fuf.bitbucks,5.0,,,3.0,1.0,5.0,12.0,8.0,,0.12,0.25,
de.langerhans.wallet,12.0,1.0,,,,1.0,2.0,4.0,0.08,,,
de.schildbach.wallet,12.0,1.0,,,,1.0,2.0,4.0,0.08,,,
de.schildbach.wallet.goldcoin,11.0,1.0,,,,3.0,2.0,4.0,0.09,,,
doge.org.freewallet.app,10.0,2.0,,4.0,1.0,6.0,8.0,7.0,0.2,0.14,0.5,
eos.org.freewallet.app,10.0,2.0,,4.0,1.0,6.0,8.0,7.0,0.2,0.14,0.5,
eth.org.freewallet.app,10.0,2.0,,4.0,1.0,6.0,8.0,7.0,0.2,0.14,0.5,
etherio.wallet.com,44.0,,,2.0,1.0,4.0,5.0,7.0,,0.14,0.4,
everex.transfer,9.0,2.0,,3.0,,5.0,6.0,6.0,0.22,,0.5,
exchange.einstein.mobile.release,4.0,1.0,,3.0,1.0,3.0,4.0,4.0,0.25,0.25,0.75,
finance.earna.app,8.0,2.0,,1.0,1.0,1.0,3.0,9.0,0.25,0.11,0.33,
fio.ecoin.wallet,5.0,1.0,,3.0,1.0,2.0,5.0,9.0,0.2,0.11,0.6,
fr.acinq.phoenix.mainnet,3.0,,,2.0,1.0,4.0,11.0,10.0,,0.1,0.18,
gbbit.app.wallet,37.0,,,2.0,,3.0,4.0,9.0,,,0.5,
global.bithumb.android,108.0,,,2.0,6.0,7.0,8.0,17.0,,0.35,0.25,
hodl.group.xrpio,8.0,,,,,3.0,5.0,7.0,,,,
i.brains.pandax,23.0,,,2.0,1.0,3.0,5.0,11.0,,0.09,0.4,
im.status.ethereum,4.0,,,,,2.0,,1.0,,,,
im.token.app,31.0,4.0,,3.0,,10.0,13.0,10.0,0.13,,0.23,
im.token.app99,17.0,,1.0,2.0,1.0,8.0,6.0,4.0,,0.25,0.33,0.12
im.yitoken.app.g2,5.0,,,,,4.0,4.0,,,,,
info.mysecurewallet.wallet,4.0,,,,,,,,,,,
io.atomicwallet,3.0,,,,,1.0,2.0,,,,,
io.bincap.exchange,42.0,,,3.0,1.0,2.0,4.0,8.0,,0.12,0.75,
io.bluewallet.bluewallet,7.0,1.0,,1.0,1.0,6.0,5.0,6.0,0.14,0.17,0.2,
io.bolt.mibwallet,18.0,1.0,,2.0,2.0,3.0,3.0,5.0,0.06,0.4,0.67,
io.cex.app.prod,119.0,1.0,,2.0,2.0,7.0,8.0,13.0,0.01,0.15,0.25,
io.crypto.wallet.bitcoin.ethereum.medooza.wallet,4.0,,,3.0,2.0,1.0,9.0,15.0,,0.13,0.33,
io.deviantcoin.android,23.0,,,,,3.0,,2.0,,,,
io.eidoo.wallet.prodnet,8.0,2.0,,2.0,1.0,6.0,11.0,17.0,0.25,0.06,0.18,
io.eosnova.wallet.android,48.0,,,1.0,,4.0,3.0,8.0,,,0.33,
io.exaking.starter,5.0,,,,,1.0,5.0,8.0,,,,
io.goldwallet.wallet,7.0,1.0,,1.0,2.0,8.0,3.0,7.0,0.14,0.29,0.33,
io.hexawallet.hexa,4.0,,,3.0,1.0,5.0,8.0,10.0,,0.1,0.38,
io.infinito.wallet,7.0,1.0,,4.0,,6.0,6.0,8.0,0.14,,0.67,
io.kompasswallet,8.0,,,2.0,1.0,3.0,4.0,9.0,,0.11,0.5,
io.kriptomat.app,17.0,1.0,,2.0,1.0,8.0,7.0,9.0,0.06,0.11,0.29,
io.melis.clientwallet,2.0,,,,,,,,,,,
io.metamask,7.0,2.0,,2.0,,7.0,4.0,4.0,0.29,,0.5,
io.muun.apollo,36.0,,,2.0,5.0,4.0,12.0,14.0,,0.36,0.17,
io.nash.app,14.0,3.0,,4.0,1.0,7.0,10.0,13.0,0.21,0.08,0.4,
io.rapids.network.wallet,3.0,,,,,2.0,,,,,,
io.rscoins.network,27.0,8.0,,6.0,1.0,10.0,14.0,26.0,0.3,0.04,0.43,
io.safepal.wallet,2.0,,,,,2.0,,,,,,
io.smartholdem.client,1.0,,,,,1.0,,1.0,,,,
io.totalcoin.wallet,98.0,,,1.0,1.0,5.0,5.0,9.0,,0.11,0.2,
io.uun.clet,47.0,,,4.0,3.0,4.0,11.0,19.0,,0.16,0.36,
io.wallet,15.0,,1.0,,3.0,5.0,6.0,5.0,,0.6,,0.2
io.yellowcard.app,2.0,,,,,,,,,,,
it.airgap.vault,2.0,,,,,1.0,3.0,2.0,,,,
it.airgap.wallet,3.0,,,1.0,,2.0,5.0,6.0,,,0.2,
it.inbitcoin.altana,34.0,,,,,1.0,,1.0,,,,
jp.co.smartapp.gowallet,52.0,,1.0,2.0,1.0,6.0,5.0,11.0,,0.09,0.4,0.17
jp.coincheck.android,43.0,1.0,,4.0,2.0,8.0,17.0,17.0,0.02,0.12,0.24,
kr.co.keypair.keywalletTouch,3.0,,,,,1.0,,,,,,
kuna.beta,115.0,,,1.0,1.0,3.0,6.0,6.0,,0.17,0.17,
latoken.kucoin.trustapp.zebpay.coinmarketcap.coindcx,34.0,,,,1.0,4.0,7.0,4.0,,0.25,,
lt.spectrofinance.spectrocoin.android.wallet,7.0,2.0,,,,4.0,2.0,5.0,0.29,,,
ltcc.org.freewallet.app,10.0,2.0,,4.0,1.0,6.0,8.0,7.0,0.2,0.14,0.5,
me.coinpal.app,13.0,1.0,,3.0,2.0,3.0,8.0,10.0,0.08,0.2,0.38,
me.cryptopay.android,56.0,,,3.0,5.0,5.0,16.0,17.0,,0.29,0.19,
mn.godeal.gopay,4.0,1.0,,2.0,2.0,2.0,4.0,7.0,0.25,0.29,0.5,
mw.org.freewallet.app,10.0,2.0,,4.0,1.0,6.0,8.0,7.0,0.2,0.14,0.5,
neo.org.freewallet.app,10.0,2.0,,4.0,1.0,6.0,8.0,7.0,0.2,0.14,0.5,
net.bitbay.bitcoin,20.0,,,3.0,,2.0,5.0,8.0,,,0.6,
net.bitcoinrevolution.bitcoin.cash.wallet,4.0,,,,,1.0,,,,,,
net.bither,71.0,,,,,,2.0,1.0,,,,
net.bitstamp.app,11.0,,,2.0,1.0,5.0,12.0,12.0,,0.08,0.17,
net.coinpayments.coinpaymentsapp,3.0,,,,,2.0,1.0,,,,,
net.ethylyte.com,35.0,,,,,,,,,,,
net.iconomi.android,10.0,,,3.0,,5.0,6.0,7.0,,,0.5,
net.tendancesbitcoin.free.bitcoin.bch.wallet,3.0,,,,,,,,,,,
net.walletharcomia.android,55.0,,,2.0,2.0,4.0,4.0,7.0,,0.29,0.5,
network.celsius.wallet,15.0,3.0,,5.0,2.0,8.0,17.0,16.0,0.2,0.12,0.29,
network.xyo.coin,55.0,5.0,,7.0,6.0,16.0,49.0,42.0,0.09,0.14,0.14,
new.rich.wallet,31.0,,,,,2.0,,2.0,,,,
nxt.org.freewallet.app,10.0,2.0,,4.0,1.0,6.0,8.0,7.0,0.2,0.14,0.5,
one.mixin.messenger,28.0,,,2.0,4.0,5.0,13.0,21.0,,0.19,0.15,
org.bitcoinox.bitcoinoxwallet,2.0,,,2.0,,2.0,3.0,3.0,,,0.67,
org.coinid.vault,3.0,,,,,,,,,,,
org.coinid.wallet.btc,3.0,,,,,2.0,,,,,,
org.coinid.wallet.grs,3.0,,,,,2.0,,,,,,
org.coinid.wallet.tbtc,3.0,,,,,2.0,,,,,,
org.coinid.wallet.tgrs,3.0,,,,,2.0,,,,,,
org.coinid.wallet.xmy,3.0,,,,,2.0,,,,,,
org.coinsence.wallet,3.0,,,,,1.0,2.0,1.0,,,,
org.cryptoblastersltd.bitcoin.wallet.account,4.0,,,,,1.0,,,,,,
org.cryptoforecast.free.bitcoin.cash.wallet.app,3.0,,,,,,,,,,,
org.cryptosignals.bitcoin.free.wallet,3.0,,,,,,,,,,,
org.cryptosignals.bitcoin.free.wallet1,3.0,,,,,,,,,,,
org.cryptosignals.free.bitcoin.cash.wallet,3.0,,,,,,,,,,,
org.deuscoin.wallet,4.0,1.0,,1.0,,1.0,2.0,3.0,0.25,,0.5,
org.electroncash.wallet,7.0,,,,,3.0,,2.0,,,,
org.electrum.electrum,2.0,,,,,,,,,,,
org.guapcoin.multiwallet,4.0,,,2.0,,2.0,3.0,5.0,,,0.67,
org.nativescript.mywallets,5.0,,,2.0,,3.0,3.0,3.0,,,0.67,
org.qbita.bitcoin_wallet,1.0,,,,,1.0,,,,,,
org.strayacoin.bitcoinpos,35.0,,,1.0,1.0,2.0,2.0,5.0,,0.2,0.5,
org.strayacoin.litecoinpos,35.0,,,1.0,1.0,2.0,2.0,5.0,,0.2,0.5,
org.topnetwork.hiwallet,82.0,1.0,,1.0,1.0,5.0,12.0,11.0,0.01,0.09,0.08,
org.toshi,12.0,1.0,,4.0,1.0,5.0,6.0,9.0,0.08,0.11,0.67,
org.tronspace.android,2.0,,,,,2.0,1.0,,,,,
org.walleth,50.0,,,1.0,1.0,4.0,8.0,7.0,,0.14,0.12,
paydeepp.elegro.io,8.0,2.0,,1.0,,2.0,2.0,5.0,0.25,,0.5,
pe.bluemountain419.jungledex,31.0,6.0,,6.0,1.0,6.0,10.0,19.0,0.19,0.05,0.6,
piuk.blockchain.android,44.0,,,1.0,1.0,4.0,3.0,10.0,,0.1,0.33,
pt.ipleiria.estg.dei.yabw,3.0,,,,,,,,,,,
roseon.finance,60.0,3.0,,1.0,1.0,4.0,3.0,10.0,0.05,0.1,0.33,
starlab.studios.cryptowallet,35.0,,,,1.0,2.0,7.0,4.0,,0.25,,
tech.central.ctocoin,14.0,5.0,,2.0,1.0,8.0,9.0,15.0,0.36,0.07,0.22,
tech.vontech.blockchain.jetoken,8.0,,,2.0,2.0,2.0,7.0,12.0,,0.17,0.29,
trx.org.freewallet.app,10.0,2.0,,4.0,1.0,6.0,8.0,7.0,0.2,0.14,0.5,
tw.org.freewallet.app,10.0,2.0,,3.0,1.0,2.0,7.0,7.0,0.2,0.14,0.43,
urubit.uwallet.app,43.0,,,,,4.0,1.0,4.0,,,,
usdt.org.freewallet.app,10.0,2.0,,4.0,1.0,6.0,8.0,7.0,0.2,0.14,0.5,
vip.mytokenpocket,259.0,4.0,2.0,,2.0,10.0,7.0,8.0,0.02,0.25,,0.2
xmr.org.freewallet.app,10.0,2.0,,4.0,1.0,6.0,8.0,7.0,0.2,0.14,0.5,
xrp.org.freewallet.app,10.0,2.0,,4.0,1.0,6.0,8.0,7.0,0.2,0.14,0.5,
za.co.rockwallet,2.0,,,,,,,,,,,
zapsolutions.zap,23.0,,,,,1.0,,,,,,
