,app_id,customized,dangerous,normal,signature,unknown
39,com.Bitplicity.Bitplicityapp,20.0,3.0,6.0,1.0,
40,com.CoinsBank.CoinsBank,3.0,3.0,4.0,1.0,
41,com.XcelTrip.XcelPay,22.0,3.0,7.0,2.0,
42,com.aax.exchange,12.0,9.0,11.0,4.0,4.0
43,com.adb.adbcoin,1.0,3.0,3.0,,
44,com.agile.walletapp,3.0,2.0,4.0,1.0,
45,com.airbitz,2.0,6.0,7.0,,
46,com.airwalletofficial.air_wallet,3.0,4.0,3.0,1.0,
47,com.allcoinwallet.allcoinwallet,21.0,5.0,3.0,2.0,
48,com.alpha.wallet,,2.0,3.0,,
49,com.altcoin.wallet,,3.0,7.0,,
50,com.androidwallet,6.0,6.0,7.0,5.0,
51,com.ankerpay.wallet,1.0,3.0,8.0,,
52,com.anxbtc.android,1.0,3.0,4.0,,
53,com.app.asbazar59,23.0,6.0,6.0,1.0,
54,com.app.belfrics,4.0,6.0,6.0,2.0,
55,com.application.bitcoiva,5.0,3.0,5.0,1.0,
56,com.application.blocdesk,9.0,7.0,6.0,1.0,
57,com.apptrack.coinom,4.0,3.0,10.0,1.0,
58,com.aspanta.emcsec,,1.0,3.0,,
59,com.atlas.mobile.wallet,,5.0,3.0,,
60,com.atomex.android,2.0,2.0,5.0,1.0,
61,com.atomicwallet.newapp.safe,,,1.0,,
62,com.b4uwallet.android,3.0,3.0,3.0,1.0,
63,com.bcoiner.webviewapp,,1.0,2.0,,
64,com.beecrypt.beecrypthd,4.0,6.0,7.0,1.0,1.0
65,com.binance.dev,20.0,5.0,9.0,3.0,2.0
66,com.bit.btcwallet,,,1.0,,
67,com.bitazza.android,6.0,5.0,9.0,1.0,
68,com.bitbar.androidwallet,,,1.0,,
69,com.bitbns,23.0,3.0,7.0,3.0,
70,com.bitcoin.mwallet,5.0,6.0,8.0,1.0,
71,com.bitcoin.wallet.btc,2.0,3.0,9.0,1.0,
72,com.bitcoin.wallet.btc.testnet,4.0,4.0,6.0,1.0,
73,com.bitcoin.wallet.cryptopuce,20.0,4.0,5.0,1.0,
74,com.bitcoinblack.wallet,2.0,3.0,6.0,,
75,com.bitcoinblockchain.suyd,4.0,3.0,7.0,1.0,
76,com.bitcoinfast.androidwallet,,,1.0,,
77,com.bitcoinglobal,4.0,,7.0,1.0,
78,com.bitcoininc.bitcoinpay,,2.0,5.0,,
79,com.bitcoinindia.Btciapp,23.0,5.0,5.0,1.0,
80,com.bitcoinofamerica.wallet,3.0,7.0,8.0,1.0,
81,com.bitcoinscrypt.androidwallet,,,1.0,,
82,com.bitexuae,6.0,3.0,6.0,1.0,
83,com.bitkub,21.0,5.0,9.0,3.0,
84,com.bitlox.mobilewallet,,4.0,5.0,,
85,com.bitmart.bitmarket,5.0,7.0,8.0,2.0,1.0
86,com.bitnovo.app,3.0,7.0,7.0,1.0,
87,com.bitorzo.wallet,3.0,5.0,6.0,,
88,com.bitpapa,21.0,,5.0,1.0,
89,com.bitpay.coincloud,5.0,5.0,5.0,1.0,
90,com.bitpay.wallet,5.0,3.0,6.0,1.0,
91,com.bitpie,1.0,9.0,9.0,1.0,2.0
92,com.bitrue.currency.exchange,4.0,3.0,6.0,1.0,
93,com.bitshield.bitshieldwallet,,2.0,2.0,1.0,
94,com.bitso.wallet,4.0,2.0,8.0,1.0,
95,com.bitvirya.app,,3.0,2.0,,
96,com.bityard.us2,4.0,7.0,6.0,,1.0
97,com.bitzapp,4.0,4.0,5.0,2.0,
98,com.bitzhash.wallet.bitcoin,,1.0,2.0,,
99,com.bixin.bixin_android,8.0,11.0,15.0,5.0,3.0
100,com.blockchain.bitcoin.wallet,2.0,3.0,9.0,1.0,
101,com.blockchain.wallet.btc,2.0,3.0,9.0,1.0,
102,com.blockcloud,,1.0,1.0,,
103,com.blockfi.mobile,,2.0,7.0,1.0,
104,com.blockfolio.blockfolio,22.0,5.0,9.0,2.0,
105,com.blocktrail.mywallet,12.0,6.0,4.0,1.0,
106,com.bokucoin.app,,2.0,4.0,,
107,com.bolowallet,3.0,3.0,3.0,1.0,
108,com.breadwallet,4.0,6.0,8.0,3.0,
109,com.btcc.mobiwallet,3.0,9.0,11.0,2.0,2.0
110,com.btcontract.wallettest,,3.0,9.0,1.0,
111,com.btcturk.pro,4.0,4.0,8.0,3.0,
112,com.btuprotocol.btu_wallet,20.0,2.0,6.0,1.0,
113,com.buda.crypto,12.0,3.0,4.0,1.0,
114,com.burency.app,12.0,6.0,8.0,4.0,3.0
115,com.buyucoinApp.buyucoin,23.0,2.0,7.0,1.0,
116,com.callsfreecalls.android,6.0,6.0,9.0,2.0,
117,com.caramba.RippleWallet,4.0,3.0,5.0,1.0,
118,com.caramba.StellarWallet,4.0,3.0,7.0,1.0,
119,com.ccwalletapp,20.0,5.0,5.0,2.0,
120,com.cobinhood.exchange,20.0,5.0,7.0,1.0,
121,com.coinbase.android,22.0,5.0,9.0,2.0,
122,com.coinburp.mobile,4.0,3.0,4.0,1.0,
123,com.coincorner.app.crypt,3.0,4.0,5.0,,
124,com.coindcx,4.0,5.0,5.0,1.0,
125,com.coindcx.btc,3.0,7.0,6.0,1.0,1.0
126,com.coindeal,3.0,1.0,5.0,1.0,
127,com.coinfalcon.mobile,20.0,4.0,6.0,3.0,
128,com.coinhako,4.0,3.0,8.0,2.0,1.0
129,com.coinlist.trade,3.0,2.0,7.0,1.0,
130,com.coinmarket.android,5.0,8.0,9.0,2.0,1.0
131,com.coinmotion,3.0,,5.0,1.0,
132,com.coinomi.wallet,4.0,3.0,10.0,1.0,
133,com.coinorbis.wallet,,4.0,3.0,1.0,
134,com.coinpaprika.coins,3.0,2.0,6.0,1.0,
135,com.coinpay,3.0,3.0,7.0,1.0,
136,com.coinpoket,,4.0,5.0,,
137,com.coinspace.app,1.0,5.0,5.0,,
