,app_id,permission,level
0,africa.bundle.mobile.app,android.permission.CAMERA,dangerous
1,africa.bundle.mobile.app,android.permission.WRITE_EXTERNAL_STORAGE,dangerous
2,africa.bundle.mobile.app,android.permission.READ_CONTACTS,dangerous
3,africa.bundle.mobile.app,android.permission.WRITE_CONTACTS,dangerous
4,africa.bundle.mobile.app,android.permission.INTERNET,normal
5,africa.bundle.mobile.app,android.permission.ACCESS_NETWORK_STATE,normal
6,africa.bundle.mobile.app,android.permission.USE_FINGERPRINT,normal
7,africa.bundle.mobile.app,android.permission.GET_ACCOUNTS,dangerous
8,africa.bundle.mobile.app,android.permission.READ_EXTERNAL_STORAGE,dangerous
9,africa.bundle.mobile.app,android.permission.ACCESS_MEDIA_LOCATION,dangerous
10,africa.bundle.mobile.app,android.permission.ACCESS_WIFI_STATE,normal
11,africa.bundle.mobile.app,android.permission.WAKE_LOCK,normal
12,africa.bundle.mobile.app,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,customized
13,africa.bundle.mobile.app,com.google.android.providers.gsf.permission.READ_GSERVICES,customized
14,africa.bundle.mobile.app,com.google.android.c2dm.permission.RECEIVE,customized
15,africa.bundle.mobile.app,android.permission.RECEIVE_BOOT_COMPLETED,normal
16,africa.bundle.mobile.app,android.permission.VIBRATE,normal
17,africa.bundle.mobile.app,android.permission.USE_FULL_SCREEN_INTENT,normal
18,africa.bundle.mobile.app,android.permission.USE_BIOMETRIC,normal
19,africa.bundle.mobile.app,android.permission.FOREGROUND_SERVICE,normal
20,africa.bundle.mobile.app,com.google.firebase.auth.api.gms.permission.LAUNCH_FEDERATED_SIGN_IN,customized
21,africa.bundle.mobile.app,android.permission.BIND_JOB_SERVICE,signature
22,africa.bundle.mobile.app,com.google.android.gms.auth.api.signin.permission.REVOCATION_NOTIFICATION,customized
23,africa.bundle.mobile.app,com.google.android.c2dm.permission.SEND,customized
24,africa.buycoins.buycoinsx.basic,android.permission.INTERNET,normal
25,africa.buycoins.buycoinsx.basic,android.permission.VIBRATE,normal
26,africa.buycoins.buycoinsx.basic,android.permission.WAKE_LOCK,normal
27,africa.buycoins.buycoinsx.basic,android.permission.ACCESS_NETWORK_STATE,normal
28,africa.buycoins.buycoinsx.basic,android.permission.CAMERA,dangerous
29,africa.buycoins.buycoinsx.basic,android.permission.USE_BIOMETRIC,normal
30,africa.buycoins.buycoinsx.basic,android.permission.USE_FINGERPRINT,normal
31,africa.buycoins.buycoinsx.basic,com.google.android.c2dm.permission.RECEIVE,customized
32,africa.buycoins.buycoinsx.basic,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,customized
33,africa.buycoins.buycoinsx.basic,android.permission.BIND_JOB_SERVICE,signature
34,africa.buycoins.buycoinsx.basic,com.google.android.gms.auth.api.signin.permission.REVOCATION_NOTIFICATION,customized
35,africa.buycoins.buycoinsx.basic,com.google.android.c2dm.permission.SEND,customized
36,app.goodcrypto,android.permission.INTERNET,normal
37,app.goodcrypto,android.permission.USE_BIOMETRIC,normal
38,app.goodcrypto,android.permission.USE_FINGERPRINT,normal
